ID,難易度,問題,解答,別答,意味
A0001,1,蹉跌,さてつ,,"1.つまずくこと。
2.障害や失敗があって、行き詰まること。≒挫折〈漢字ペディア〉
物事がうまく進まず、しくじること。挫折。失敗。〈大辞泉〉
1.つまずいて足をすべらす。
2.ちぐはぐになって、失敗する。〈漢字源〉"
A0002,1,錚錚,そうそう,,"1.金属が打ちあたって、澄んで鳴る音の形容。
2.琴や琵琶のちんちんという音の形容。
3.秋風の音の形容。
4.転じて、凡人の中で少しすぐれたもののたとえ。〈新漢和大字典〉
1.金属や楽器の音がさえて響くさま。
2.多くのものの中で特にすぐれているさま。〈大辞泉〉
1.「錚然(ｿｳｾﾞﾝ:金属のぶつかり合う音の形容。また、楽器の澄んだ音の形容。)」に同じ。
2.人物がすぐれてりっぱなさま。〈漢字ペディア〉"
A0003,1,霍乱,かくらん,,"漢方で、日射病をさした語。また、夏に起きやすい、激しい吐き気･下痢などを伴う急性の病気をいった。〈大辞泉〉
コレラなどの下痢症状。〈字通〉
日射病。また、暑気あたりによって吐きくだしをする病気。〈漢字ペディア〉
★鬼(ｵﾆ)の霍乱…ふだん丈夫な人が珍しく病気になることをひやかしていう語。〈漢字ペディア〉"
A0004,1,明礬,みょうばん,,"カリウム･アンモニウム･ナトリウムなどの一価イオンの硫酸塩と、アルミニウム･クロム･鉄などの三価イオンの硫酸塩とが化合した複塩の総称。〈大辞泉〉
硫酸アルミニウムとアルカリ金属などの結合物で、無色透明の正八面体の結晶。染色・医薬・製紙などに使用される。〈漢字ペディア〉"
A0005,1,炬燵,こたつ,,"暖房器具の一つ。炭火などの熱源の上にやぐらをかぶせ、上を布団でおおったもの。〈漢字ペディア〉
熱源をやぐらでおおい、その上に布団を掛けて暖をとるもの。〈大辞泉〉"
A0006,1,梵唄,ぼんばい,,"仏教讃歌。〈字通〉
1.仏典の偈、または頌を調子を合わせて歌うこと。声明。
2.法会のはじめに偈をよんで仏の徳をほめたたえること。〈新漢和大字典〉
1.声明の別称。2.梵語の歌詞による唄。〈大辞林〉
1.「声明(ショウミョウ)」の別称。
2.①のうち、梵語を漢字音訳した歌詞による唄(うた)。法会の始まりに僧が独唱する経文。〈漢字ペディア〉"
A0007,1,荼毘,だび,,"火葬のこと。〈大辞林〉
火葬にすること。〈漢字ペディア〉"
A0008,1,痙攣,けいれん,,"全身的または部分的に筋肉が収縮し、不随意運動を起こすこと。持続的にみられる強直性のもの、間欠的にみられる間代性のものなどがあり、脳疾患･髄膜炎･中毒･ホルモンの異常などが原因。〈大辞泉〉
筋肉がひきつること。また、筋肉が引きつれる病気〈漢字源〉
筋肉が急激に収縮し、ひきつること。ひきつり。〈漢字ペディア〉"
A0009,1,馮河,ひょうが,,"徒歩で黄河を渡ること。無謀なことを行うたとえ。〈大辞泉〉
無謀な行動のたとえ。徒歩で大きな川を渡る意から。〈漢字ペディア〉
★暴虎馮河…トラに素手で立ち向かい、黄河を徒歩で渡ること。血気にはやり無謀なことをすることのたとえ。〈大辞泉〉"
A0010,1,嚆矢,こうし,,"かぶらや。なりかぶら。戦のはじめ。また、ものの起こり。〈字通〉
1.かぶらや。
2.物事のはじめ。〈漢字源〉
1.かぶら矢。鳴りひびく矢。
2.物事の最初。起源。おこり。昔、中国で戦いの開始のしるしとして、かぶら矢を敵陣に射たことから。〈漢字ペディア〉"
