ID,難易度,問題,語群,解答,別答,意味,出典
E0001,1,見識が狭く世間知らずの人のたとえ。,"甕裡[醯鶏]・[藜杖]韋帯
銅駝[荊棘]・門巷[塡隘]",けいけい,,"甕裡醯鶏／甕裏醯鶏（おうりけいけい）
★「裡」は、中の意。
★「醯鶏」は、酒や酢を入れた甕(ｶﾒ)にわく小虫。かつおむし。
★甕の中にわく小さな羽虫の意。
類：醯鶏甕裡（けいけいおうり）
類：井底之蛙（せいていのあ）",＊『荘子-田子坊』
E0002,1,きわめて質素なこと。,"[伯兪]泣杖・[藜杖]韋帯
門巷[塡隘]・黄衣[廩食]",れいじょう,,"藜杖韋帯（れいじょういたい）
★あかざ（藜）の茎で作った杖と、なめし皮（韋）の帯の意。いずれも粗末なもの。
類：土階三等（どかいさんとう）",＊『陳書-宣帝紀』
E0003,1,全身で喜びをあらわす。,"甕裡[醯鶏]・[笙磬]同音
関関[雎鳩]・[鳧趨]雀躍",ふすう,,"鳧趨雀躍（ふすうじゃくやく）
★「鳧趨」は、鴨が小走りに歩く意。そのさまから、小躍りする様子のたとえ。
★「雀躍」は、雀が踊る意。また、そのように喜んで小躍りすること。
類：欣喜雀躍（きんきじゃくやく）
類：手舞足踏（しゅぶそくとう）",＊『盧照鄰-窮魚賦』
E0004,1,国の滅亡を嘆くたとえ。,"[藜杖]韋帯・門巷[塡隘]
銅駝[荊棘]・[伯兪]泣杖",けいきょく,,"銅駝荊棘（どうだけいきょく）
★「駝」は、らくだ。
★「荊棘」は、いばらの意で、乱れた状態のたとえ。
★宮殿が破壊され尽くし、銅製の駱駝がイバラの中にうち捨てられているのを嘆く意。
★晋の索靖（ｻｸｾｲ）は、先見の明があり、国が乱れるのを予知し、宮門にある銅製の駱駝（銅駝）を見て「この駱駝もイバラ（荊棘）の中にうち捨てられることであろう」と嘆いた故事から。
故事：「銅駝(ﾄﾞｳﾀﾞ)の荊棘(ｹｲｷｮｸ)に在(ｱ)るを嘆く」
類：荊棘銅駝（けいきょくどうだ）",＊『晋書-索靖伝』
E0005,1,夫婦仲が非常に良いこと。,"[銅牆]鉄壁・関関[雎鳩]
[鳧趨]雀躍・昏定[晨省]",しょきゅう,,"関関雎鳩（かんかんしょきゅう）
★「関関」は、鳥の和らぎ鳴く声の形容。
★「雎鳩」は、水鳥の名で、みさごの意。
★仲の良い雄と雌のみさごが、川の州でのどかに鳴きかわしているさまを言う。
類：比翼連理（ひよくれんり）
類：琴瑟相和（きんしつそうわ）
類：鴛鴦之契（えんおうのちぎり）",＊『詩経-周南･関雎』
E0006,1,外見よりも本性を見るべきである。,"牝牡[驪黄]・[荊棘]叢裏
[薏苡]明珠・[以蠡]測海",りこう,,"牝牡驪黄（ひんぼりこう）
★「驪黄」は、黒色と黄色。驪は黒色の馬。
★中国秦の穆公(ﾎﾞｯｺｳ)は駿馬を求めていた。馬を見る名人伯楽(ﾊｸﾗｸ)のすすめで九方皐(ｷｭｳﾎｳｺｳ)に名馬を探させに行かせると、黄色い牝馬を見つけたという報告を受けた。上機嫌の穆公であったが、いざ馬を連れ帰ると黒い牡馬だったことから、不機嫌になった穆公は馬の色や性別を弁別できないことを怒ったのに対し、伯楽は色や性別などの見た目にこだわらずに自然に備わった能力をこそ見るべきだと説いた。その馬は比類なき天下の名馬であったという故事から。",＊『列子-説符』
E0007,1,漢字の一書体が作られた故事。,"子墨[兎毫]・[史籒]大篆
四六[駢儷]・筆力[扛鼎]",しちゅう,,"史籒大篆（しちゅうだいてん）
★「史籒」は、周の宣王(ｾﾝﾉｳ)のときの史官でそれまでの古文を改変して大篆という書体を作ったとされる。",＊『蒙求-史籒大篆』
E0008,1,高位･高官のしるし。,"[史籒]大篆・荊釵[布裙]
黄衣[廩食]・高牙[大纛]",たいとう,だいとう,"高牙大纛（こうがだいとう／こうがたいとう）
★「高牙」は、象牙の飾りのついた高い旗のこと。
★「大纛」は、牛の尾の飾りをさおにつるした大きな旗の意。軍隊の本営に立てるもの。",＊『欧陽脩-相州昼錦堂記』
E0009,1,意気が削がれ恐怖で体がすくむ。,"[脣亡]歯寒・荒瘠[斥鹵]
[銷鑠]縮栗・[飲鴆]止渇",しょうしゃく,,"銷鑠縮栗（しょうしゃくしゅくりつ）
★「銷鑠」は、金属を溶かす意から、意気消沈すること。
★「縮栗」は、縮み上がって恐れること。縮慄。",＊『韓愈-与少室李拾遺書』
E0010,1,粗末な服装のたとえ。,"泉石[膏肓]・縞衣[綦巾]
荊釵[布裙]・牝牡[驪黄]",ふくん,,"荊釵布裙（けいさいふくん）
★荊(ｲﾊﾞﾗ)の釵(ｶﾝｻﾞｼ)と、布の裙(ﾓｽｿ)の意。
★中国後漢の梁鴻(ﾘｮｳｺｳ)の妻孟光(ﾓｳｺｳ)が、いつも質素でイバラのかんざしと麻布のもすそを身に着けていたという故事から。",＊『太平魚御覧･七一八引皇甫謐-列女伝』
E0011,1,大金持ち。,"[断薺]画粥・嫗伏[孕鬻]
[棣華]増映・陶朱[猗頓]",いとん,,"陶朱猗頓（とうしゅいとん）
★陶朱猗頓の富(ﾄﾐ)…莫大な富。また、富豪。〈大辞泉〉
★「陶朱」は金満家として知られ、「猗頓」は、魯国の富豪であったところから。
類：猗頓之富（いとんのとみ）
類：陶朱之富（とうしゅのとみ）",＊『賈誼-過秦論･上』
E0012,1,無用なもの、つまらないもの。,"[牛溲]馬勃・瓶墜[簪折]
[醯鶏]甕裡・無根[無蔕]",ぎゅうしゅう,ぎゅうそう,"牛溲馬勃（ぎゅうしゅうばぼつ／ぎゅうそうばぼつ）
★「牛溲」は、おおばこで、「馬勃」は、ほこりたけの意。どちらも一般的でありふれた薬草。
★一説に「牛溲」は牛の小便、「馬勃」は馬の糞。
類：牛糞馬涎（ぎゅうふんばせん）",＊『韓愈-進学解』
E0013,1,生きものを表す提喩。,"跂行[喙息]・万物[殷富]
[円顱]方趾・[跛立]箕坐",かいそく,,"跂行喙息（きこうかいそく）
★「跂行」は、虫などが這い歩くこと。また、足で歩くこと。
★「喙息」は、口で息をするものの意。",＊『漢書-公孫弘伝』
E0014,1,鳥や獣が子を産み育てること。,"[蓴羹]鱸膾・華亭[鶴唳]
吹毛[求疵]・嫗伏[孕鬻]",よういく,,"嫗伏孕鬻（うふうよういく／おうふうよういく）
★「嫗伏」は、鳥が翼で卵を覆い温めること。
★「孕鬻」は、獣が子を孕み産み育てること。",＊『礼記-楽記』
