ID,難易度,問題,解答,別答,意味,同音異義語用
I0001,1,【アイクチ】に鍔,匕首,合口,"👉あいくちにつば。
釣り合わないことや不調和なことのたとえ。〈漢字ペディア〉
★匕首は本来鍔のない短刀なので、鍔をつけると似つかわしくないことから。
＊『諺苑』",アイクチ
I0002,1,【アバタ】も靨,痘痕,,"👉あばたもえくぼ。
ひいき目で見れば短所も長所に見えるたとえ。〈漢字ペディア〉
★好きになれば、相手のあばたもえくぼのようにかわいらしく見える意から。
＊『人情本･郭の花笠-二･八回』",アバタ
I0003,1,【アンコウ】の待ち食い,鮟鱇,,"👉あんこうのまちぐい。
働きもせずに利益を得ようとするたとえ。〈漢字ペディア〉
＊『日本俚諺大全』",アンコウ
I0004,1,一世を【フウビ】する,風靡,,"👉いっせいをふうびする。
ある時代に広く流行し、大きな影響力をもつ。〈漢字ペディア〉
＊『後漢書-馮異伝』",フウビ
I0005,1,【イツボウ】の争い,鷸蚌,,"👉いつぼうのあらそい。
利益をめぐって両者が争っている間に、第三者に利益を横取りされて共倒れに終わってしまう愚かさのたとえ。〈漢字ペディア〉
★シギとハマグリとが餌(ｴｻ)の取り合いで争っているうちに、両方とも漁師に捕まってしまったという故事から。
＊『戦国策-燕策』",イツボウ
I0006,1,【インカン】遠からず,殷鑑,,"👉いんかんとおからず。
戒めとすべき失敗の前例は、わざわざ遠くに求めなくてもすぐ身近なところにあるということ。〈漢字ペディア〉
★「殷」は、中国の古代王朝名。
★「鑑」は、かがみ、手本の意。
★殷が鑑とすべき手本は、まさにすぐ前の王朝夏(ｶ)の暴政であったことから。
＊『詩経-大雅･蕩』",インカン
I0007,1,【ウケ】に入る,有卦,,"👉うけにいる。
幸運がめぐってきて、当分続くこと。〈漢字ペディア〉
★陰陽道(ｵﾝﾖｳﾄﾞｳ)で吉運の年回りに入ったという意から。
＊『俳諧･玉海集-二･夏』",ウケ
I0008,1,【エンオウ】の契り,鴛鴦,,"👉えんおうのちぎり。
夫婦仲がきわめてむつまじいことのたとえ。〈漢字ペディア〉
★オシドリは、いつも雌雄が一緒にいることから夫婦仲のよいたとえに用いられる。
＊『御伽草子･浦嶋太郎』",エンオウ
I0009,1,【オクビ】にも出さぬ,噯気,"噫気
噯","👉おくびにもださぬ。
心の底に秘めていて、それらしいそぶりも見せないこと。〈漢字ペディア〉
＊『御伽草子･鴉鷺合戦物語』",オクビ
I0010,1,同じ穴の【ムジナ】,貉,狢,"👉おなじあなのむじな。
悪事をたくらむ仲間であることのたとえ。〈漢字ペディア〉
★別なように見えても実は悪賢いムジナであることに変わりはない意から。
＊『』",ムジナ
I0011,1,小田原【ヒョウジョウ】,評定,,"👉おだわらひょうじょう。
いつまでも意見がまとまらず、長引くだけの相談。〈漢字ペディア〉
★北条(ﾎｳｼﾞｮｳ)氏がたてこもった小田原城を豊臣秀吉が攻めた際、城内で和議か抗戦かなかなか決まらなかったことから。
＊『日本俚諺大全』",ヒョウジョウ
