ID,難易度,問題,読み,解答,別答,意味,出典
D0001,1,拳拳____,けんけんふくよう,服膺,,"➡拳拳服膺（けんけんふくよう）
常に心に銘記して、決して忘れないこと。〈漢検四字熟語辞典〉
★「拳拳」は、両手で大切にささげ持つこと。
★「服膺」は、胸に刻んで忘れないことで、人の教えや言葉を常に心にとどめて大切に守る意。",＊『礼記-中庸』
D0002,1,____一炊,こうりょういっすい,黄粱,,"➡黄粱一炊（こうりょういっすい）
一生が夢幻のようにはかないことのたとえ。〈漢検四字熟語辞典〉
★粱飯(ｱﾜﾒｼ)を炊(ｶｼ)ぐほどの短い時間の意。
類：一枕の黄粱（いっちんのこうりょう）／類：黄粱之夢（こうりょうのゆめ）／類：一炊之夢（いっすいのゆめ）／類：邯鄲之枕（かんたんのまくら）／類：邯鄲之夢（かんたんのゆめ）／類：一場の春夢（いちじょうのしゅんむ）",＊『枕中記』
D0003,1,焦頭____,しょうとうらんがく,爛額,,"➡焦頭爛額（しょうとうらんがく）
根本を忘れ瑣末な事を重視すること。また、物事を非常に苦労してすること。また、一命を賭して消火にあたる意にも用いる。〈漢検四字熟語辞典〉
★火災を予防する方法を教えた者は感謝されず、火災が起きてから頭を焦がし額を爛(ﾀﾀﾞ)れさせて消火にあたった者だけが礼をされるということから。
「焦頭爛額を上客(ｼﾞｮｳｶｸ)と為(ﾅ)す」
類：爛額焦頭（らんがくしょうとう）",＊『漢書-霍光伝』
D0004,1,____来臨,おうがらいりん,枉駕,,"➡枉駕来臨（おうがらいりん）
わざわざお越しいただきまして、ということ。〈漢検四字熟語辞典〉
★「枉駕」は、乗り物の道筋を枉(ﾏ)げてわざわざ立ち寄ること。
★「来臨」は、人が来ることの敬語表現。人の来訪に対して敬意を表す語。
「駕(ｶﾞ)を枉(ﾏ)げて来臨す」",＊『不明』
D0005,1,神韻____,しんいんひょうびょう,縹渺,"縹緲
縹眇","➡神韻縹渺／神韻縹緲／神韻縹眇（しんいんひょうびょう）
芸術作品の持つたいそう奥深くすぐれた趣のこと。〈漢検四字熟語辞典〉
★「神韻」は、人間わざとは思えないようなすぐれた趣のこと。
★「縹渺」は、遠く遥かな意。",＊『日本風景論』
D0006,1,____蹐地,きょくてんせきち,跼天,局天,"➡跼天蹐地／局天蹐地（きょくてんせきち）
非常に恐れて身の置き所のない形容。また、肩身を狭くして世をはばかって暮らすこと。〈漢検四字熟語辞典〉
★天は高いのに背を跼(ｶｶﾞ)め、大地は広く厚いのに忍び足でそっと歩く（蹐）こと。
「天に跼(ｾｸﾞｸﾏ)り地に蹐(ﾇｷｱｼ)す」",＊『詩経-小雅･正月』
D0007,1,乾坤____,けんこんいってき,一擲,,"➡乾坤一擲（けんこんいってき）
運命をかけて、一か八かの大勝負をすること。〈漢検四字熟語辞典〉
★「乾」は、天。
★「坤」は、地。
★「一擲」は、さいころを投げる意。
★天下のかけた、のるかそるかの大ばくちのことをいう。
類：一擲乾坤（いってきけんこん）",＊『韓愈-過鴻溝』
D0008,1,右顧____,うこさべん,左眄,,"➡右顧左眄（うこさべん）
右を見たり左を見たりためらい迷うこと。情勢を気にして決断できないこと。〈漢検四字熟語辞典〉
★「顧」は、見回す、気に掛ける意。
★「眄」は、横目でちらちら見ること。
類：右顧左顧（うこさこ）／類：左右傾側（さゆうけいそく）／類：首鼠両端（しゅそりょうたん）／類：左眄右顧（さべんうこ）／類：左顧右眄（さこうべん）",＊『石坂洋次郎-若い人･上』
D0009,1,剛毅____,ごうきぼくとつ,木訥,"朴訥
朴吶","➡剛毅木訥／剛毅朴訥／剛毅朴吶（ごうきぼくとつ）
意志が強くて、飾り気がないこと。〈漢検四字熟語辞典〉
★「剛毅」は、意志が強くくじけない。
★「木訥」は、飾り気がなく無口で無骨なこと。
「剛毅木訥仁(ｼﾞﾝ)に近し」",＊『論語-子路』
D0010,1,____不屈,ふとうふくつ,不撓,,"➡不撓不屈（ふとうふくつ）
どんな困難にもくじけないこと。〈漢検四字熟語辞典〉
★「不撓」は、たわまない、まがらない意。
★「不屈」は、屈しないこと。
類：不屈不撓（ふくつふとう）／類：独立不撓（どくりつふとう）／類：百折不撓（ひゃくせつふとう）",＊『漢書-叙伝』
