ID,難易度,問題⒜,解答⒜,問題⒝,解答⒝,意味
G0001,1,緇衣,"しい
しえ",緇い,くろ,"1.黒色の衣服。
2.墨染めの僧衣。また、僧侶(ソウリョ)。〈漢字ペディア〉"
G0002,1,抉剔,けってき,剔る,えぐ,えぐりだすこと。隠れているものをほじくりだすこと。≒抉出〈漢字ペディア〉
G0003,1,扣門,こうもん,扣く,たた,門をたたく。敲門。〈漢辞海〉
G0004,1,倦憊,けんぱい,憊れる,つか,あきて疲れること。≒倦疲〈漢字ペディア〉
G0005,1,慙恚,ざんい,恚る,いか,はじて怒ること。≒慙憤〈漢字ペディア〉
G0006,1,諧謔,かいぎゃく,謔れる,たわむ,ちょっとした冗談。おどけ。しゃれ。ユーモア。おどけた話や言葉。≒詼諧〈漢字ペディア〉
G0007,1,嗤笑,ししょう,嗤う,わら,あざけりわらうこと。あざわらい。≒嘲笑〈漢字ペディア〉
G0008,1,截然,せつぜん,截る,き,"1.区別がはっきりしているさま。
2.切り立っているさま。〈漢字ペディア〉"
G0009,1,夥多,かた,夥しい,おびただ,非常に多いこと。おびただしいこと。〈漢字ペディア〉
G0010,1,陋巷,ろうこう,陋い,せま,せま苦しく、きたない街。〈漢字ペディア〉
G0011,1,忸怩,じくじ,忸じる,は,自分の行いをはずかしく思うようす。〈漢字ペディア〉
G0012,1,長嘶,ちょうせい,嘶く,いなな,馬などが声を引いていななく。〈漢辞海〉
G0013,1,燻蒸,くんじょう,燻す,いぶ,"1.いぶし、蒸すこと。
2.害虫などを殺すため、薬剤などでいぶすこと。〈漢字ペディア〉"
G0014,1,芟除,"さんじょ
せんじょ",芟る,か,雑草などを取り除くこと。〈漢字ペディア〉
G0015,1,吶喊,とっかん,喊ぶ,さけ,"1.大勢が大声で叫ぶこと。鬨(とき)の声をあげること。
2.大声を発しながら、敵陣に突撃すること。≒突貫〈漢字ペディア〉"
G0016,1,刪修,さんしゅう,刪る,けず,不要な語句をけずって文章を整えること。≒刪正、刪定〈漢字ペディア〉
G0017,1,儁傑,しゅんけつ,儁れる,すぐ,才徳が衆人よりすぐれていること。また、そのさまやその人。衆に秀でた人。英傑。俊彦。≒俊傑〈日本国語大辞典〉
G0018,1,剪定,せんてい,剪る,き,果樹などの発育や結実を助けたり庭木の形を整えるために、余分な枝を切ること。≒翦定〈漢字ペディア〉
G0019,1,象嵌,"ぞうがん
ぞうかん",嵌める,"は
ちりば",≒象眼〈漢字ペディア〉
G0020,1,篡逆,さんぎゃく,篡う,うば,主君を廃してその位を奪い取ること。謀叛を起こすこと。≒簒虐〈日本国語大辞典〉
G0021,1,勁草,けいそう,勁い,つよ,茎がしっかりしていて、強風にも折れない草。また、節操や意志の固い人のたとえ。〈漢字ペディア〉
G0022,1,目睹,もくと,睹る,み,目で実際に見ること。目撃。〈大辞泉〉
G0023,1,蠢動,しゅんどう,蠢く,うごめ,"≒蠢爾
1.虫がうごめくこと。≒蠢蠢
2.つまらないものが騒ぎ動くこと。〈漢字ペディア〉"
G0024,1,陞叙,しょうじょ,陞る,のぼ,≒昇叙〈漢字ペディア〉
G0025,1,菲徳,ひとく,菲い,うす,薄い徳。人間としての価値ある行いが薄いこと。≒寡徳〈漢字ペディア〉
G0026,1,均霑,きんてん,霑う,うるお,利益や恩恵をみんながひとしく受けること。恩恵が均等にいきわたること。≒均沾〈漢字ペディア〉
G0027,1,浚渫,しゅんせつ,浚う,さら,水底の泥をさらって深くすること。〈漢字ペディア〉
G0028,1,憑依,ひょうい,憑く,つ,"1.霊がのりうつること。
2.よりすがること。たのみにすること。≒馮依〈漢字ペディア〉"
G0029,1,饌米,せんまい,饌える,そな,神に供える米。供物とする洗米。供米。〈日本国語大辞典〉
G0030,1,糜爛,びらん,糜れる,ただ,"1.ただれ崩れること。
2.世の中の乱れ、人民の疲弊のはなはだしいたとえ。〈漢字ペディア〉"
G0031,1,斫断,しゃくだん,斫る,き,たちきること。≒切断〈漢字ペディア〉
G0032,1,邀撃,ようげき,邀える,むか,攻めて来る敵を、むかえ討つこと。≒迎撃〈漢字ペディア〉
G0033,1,薨去,こうきょ,薨る,みまか,昔、皇族や三位(サンミ)以上の人が死ぬこと。≒薨逝〈漢字ペディア〉
G0034,1,衛戍,えいじゅ,戍る,まも,軍隊が長い間同じ地にとどまって警備にあたること。〈漢字ペディア〉
G0035,1,攫取,かくしゅ,攫む,つか,つかみとること。手に入れること。≒獲取〈漢字ペディア〉
G0036,1,戡定,かんてい,戡つ,か,戦いに勝って、敵を平定すること。〈漢字ペディア〉
G0037,1,懿徳,いとく,懿しい,うるわ,非常にすぐれた徳。特に、女性のすぐれた品性・人格。〈漢字ペディア〉
G0038,1,佩剣,はいけん,佩びる,お,刀剣を腰につけること。また、その刀剣。帯剣。〈大辞泉〉
G0039,1,耘耕,うんこう,耘る,くさぎ,土をおこして雑草をとったり、耕したりする。農作物の手入れをすること。≒耕耘〈漢字源〉
G0040,1,呵譴,かけん,譴める,"せ
とが",きびしくしかる。とがめしかる。荷責。≒呵責、呵叱<漢辞海>
G0041,1,遒勁,しゅうけい,遒い,"つよ
ちからづよ",絵画や文章を書くときの筆の運びが力強いこと。〈漢字ペディア〉
G0042,1,竦然,しょうぜん,竦れる,おそ,恐れてこわがるさま。≒慄然〈漢字ペディア〉
