ID,難易度,問題,指定,語群,解答,問題熟語の意味,解答熟語の意味
H0001,1,【繫船】,対義語,"ぎゃくと
かいらん
じくろ",解纜,"▼【繫船／係船】ケイセン
船をつなぎとめること。特に、船を動かすと損失が大きくなる場合、一時的に船を港にとめておくこと。〈漢字ペディア〉","▼〔解纜〕カイラン
纜(ﾄﾓﾂﾞﾅ)を解いて船が港を出ること。ふなで。≒出帆、出港、出航〈漢字ペディア〉
船が航海に出ること。ふなで。出帆。〈大辞泉〉
船のともづなを解く。出帆する。纜(ﾗﾝ)を解(ﾄ)く。〈漢辞海〉"
H0002,1,【繫留】,対義語,"かいらん
るいせつ
ばんきん",解纜,"▼【繫留／係留】ケイリュウ
つなぎとめておくこと。〈漢字ペディア〉","▼〔解纜〕カイラン
纜(ﾄﾓﾂﾞﾅ)を解いて船が港を出ること。ふなで。≒出帆、出港、出航〈漢字ペディア〉
船が航海に出ること。ふなで。出帆。〈大辞泉〉
船のともづなを解く。出帆する。纜(ﾗﾝ)を解(ﾄ)く。〈漢辞海〉"
H0003,1,【麤笨】,対義語,"さいち
きょたん
こっしょ",細緻,"▼【麤笨／粗笨】ソホン
おおまかで、細かい点まで行き届いていないこと。また、そのさま。≒粗雑〈漢字ペディア〉","▼〔細緻〕サイチ
1.きめ細かいこと。
2.注意が行き届いていて、てぬかりのないさま。≒細密、綿密、緻密〈漢字ペディア〉"
H0004,1,【麤笨】,対義語,"せいち
ほうかく
ゆうこ",精緻,"▼【麤笨／粗笨】ソホン
おおまかで、細かい点まで行き届いていないこと。また、そのさま。≒粗雑〈漢字ペディア〉","▼〔精緻〕セイチ
非常に細かくて詳しいこと。≒精細、精密、緻密〈漢字ペディア〉"
H0005,1,【旭日】,対義語,"れいめい
けんこん
らっき",落暉,"▼【旭日】キョクジツ
朝の太陽、またその光。朝日。〈漢字ペディア〉","▼〔落暉〕ラッキ
沈みかけている太陽。夕日。入り日。≒落陽〈漢字ペディア〉"
H0006,1,【安泰】,対義語,"どたい
きたい
だじゃく",危殆,"▼【安泰】アンタイ
危険や心配事もなく、無事でやすらかなこと。≒安康、安寧〈漢字ペディア〉","▼〔危殆〕キタイ
非常にあぶないこと。≒危険、危急〈漢字ペディア〉"
H0007,1,【安佚】,対義語,"おうしょう
かくしゅ
きょうだ",鞅掌,"▼【安佚／安逸】アンイツ
≒安逸〈漢字ペディア〉
気楽に過ごすこと。何もせずに、ぶらぶらと遊び暮らすこと。また、そのさま。≒安逸〈大辞泉〉","▼〔鞅掌〕オウショウ
忙しく立ち働いて暇のないこと。〈大辞泉〉
休みをとれないほど忙しく働くこと。〈漢字ペディア〉"
H0008,1,【一掬】,対義語,"きょうだ
じゅうりん
ばんこく",万斛,"▼【一掬】イッキク
1.両手で、水などを一回すくうこと。ひとすくい。
2.わずかなことのたとえ。〈漢字ペディア〉","▼〔万斛〕バンコク
きわめて多い分量。〈漢字ペディア〉
★「斛」は、容量の単位で一斛は約18リットル。"
H0009,1,【隠逸】,対義語,"しゅつろ
きそく
いんかん",出廬,"▼【隠逸】インイツ
俗世間を逃れてかくれ住むこと。≒隠遁〈漢字ペディア〉","▼〔出廬〕シュツロ
引退していた人が再び世に出て活躍すること。〈漢字ペディア〉
★中国の三国時代、諸葛亮が蜀(ｼｮｸ)の劉備(ﾘｭｳﾋﾞ)の三顧の礼に感激して廬(ｲｵﾘ)を出て、蜀に仕えたという故事から。"
H0010,1,【隠棲】,対義語,"きかん
こんほう
しゅつろ",出廬,"▼【隠棲／隠栖】インセイ
俗世間から離れて静かに生活すること。≒隠遁、隠居〈漢字ペディア〉","▼〔出廬〕シュツロ
引退していた人が再び世に出て活躍すること。〈漢字ペディア〉
★中国の三国時代、諸葛亮が蜀(ｼｮｸ)の劉備(ﾘｭｳﾋﾞ)の三顧の礼に感激して廬(ｲｵﾘ)を出て、蜀に仕えたという故事から。"
H0011,1,【隠遁】,対義語,"ようらん
こうでん
しゅつろ",出廬,"▼【隠遁】イントン
俗世間を逃れてひそやかに暮らすこと。≒隠棲、隠逸、隠居〈漢字ペディア〉","▼〔出廬〕シュツロ
引退していた人が再び世に出て活躍すること。〈漢字ペディア〉
★中国の三国時代、諸葛亮が蜀(ｼｮｸ)の劉備(ﾘｭｳﾋﾞ)の三顧の礼に感激して廬(ｲｵﾘ)を出て、蜀に仕えたという故事から。"
H0012,1,【栄達】,対義語,"かったつ
れいそく
らくはく",落魄,"▼【栄達】エイタツ
高い地位にのぼること。出世すること。≒栄進、昇進〈漢字ペディア〉","▼〔落魄〕ラクハク／ラクバク／ラクタク
おちぶれること。≒零落〈漢字ペディア〉"
H0013,1,【盈満】,対義語,"せいが
きけつ
てんぴん",虧欠,"▼【盈満】エイマン
1.いっぱいになること。満ち足りていること。
2.富や権力がきわめて大きいこと。〈漢字ペディア〉","▼〔虧欠〕キケツ
欠けていること。完全でないこと。〈日本国語大辞典〉"
H0014,1,【黄昏】,対義語,"れいめい
へいしょく
らっき",黎明,"▼【黄昏】コウコン／たそがれ
夕暮れ。薄暗くなった夕方。
★薄暗くて人の見分けがつかず「誰(た)そ彼(かれ)」とたずねることから。〈漢字ペディア〉","▼〔黎明〕レイメイ
1.夜明け。明け方。
2.夜明けにあたる、物事が始まる時期のたとえ。また、新しい時代や文化･芸術などの始まり。〈漢字ペディア〉"
H0015,1,【嘉尚】,対義語,"げろう
やそう
ていき","詆毀
詆譏","▼【嘉尚】カショウ
ほめたたえること。賞賛すること。〈漢字ペディア〉","▼〔詆毀／詆譏〕テイキ
そしること。人を悪く言うこと。〈漢字ペディア〉"
H0016,1,【家厳】,対義語,"ねいしん
ちんてい
かじ",家慈,"▼【家厳】カゲン
自分の父の称。家君。〈日本国語大辞典〉","▼〔家慈〕カジ
母親。他人に対して自分の母をいう場合に用いる。〈日本国語大辞典〉"
H0017,1,【過疎】,対義語,"わいしょう
けんとう
ちゅうみつ","稠密
綢密","▼【過疎】カソ
1.非常にまばらなこと。⇔過密
2.地域での人口などが少なすぎること。⇔過密〈漢字ペディア〉","▼〔稠密／綢密〕チュウミツ
一か所に多く集まること。びっしりとこみ合っていること。〈漢字ペディア〉"
