ID,難易度,問題,解答,意味
B0001,1,【麤】く斫られたる石にも神の定めたる運あり,あら,"関連熟語：麤笨（ソホン）
★麤い／粗い（あら-い）
1.きめがあらい。
2.粗末なさま。粗雑なさま。おおまかなさま。〈漢字ペディア〉"
B0002,1,【糱】を栽培して商う,もやし,"関連熟語：--
★糱（もやし）
米、麦、大豆などを水に浸し、光に当てないで発芽させたもの。食用。大麦のもやしはビール･飴（あめ）などの原料。〈漢字ペディア〉"
B0003,1,【一纏】めにしておいたので安心しなさい,ひとまと,"関連熟語：纏綿（テンメン）
★一纏め（ひとまと-め）
一つにまとめること。〈漢字ペディア〉"
B0004,1,【鵜篝】が川面に映える,うかがり,関連熟語：篝火（コウカ）
B0005,1,【襖】に衣を重ねても逃がすべきに非ず,あお,"関連熟語：位襖（イオウ）
★襖（あお）
1.両わきの開いた上着で、昔の武官の礼服。2.「狩襖(ｶﾘｱｵ)」の略で、「狩衣(ｶﾘｷﾞﾇ)」に同じ。昔、貴族が常用した略服で、のちに武家の礼服となった。襖子(ｱｵｼ)。〈漢字ペディア〉"
B0006,1,【乙丑】には五十六歳になっていた,きのとうし,"関連熟語：乙丑（イッチュウ／オッチュウ）
★十干十二支。"
B0007,1,【解】れを整えてやおら振り向いた,ほつ,"関連熟語：--
★解れる（ほつ-れる）
結び目･縫い目などがほどける。〈漢字ペディア〉"
B0008,1,【乾涸】びた喉を潤す,ひから,"関連熟語：乾涸（カンコ）
★乾涸びる／乾枯びる／干涸びる／干枯びる（ひから-びる）
1.水分がすっかりなくなる。
2.うるおいや生気が失われる。〈漢字ペディア〉"
B0009,1,【砧】打って我に聞かせよや坊が妻,きぬた,"関連熟語：砧杵（チンショ）
★砧／碪（きぬた）
木づちで布を打つときに用いた木や石の台。また、それを打つこと。〈漢字ペディア〉"
B0010,1,【逆捩】を食わせる,さかねじ,"関連熟語：--
▼逆捩を食わせる…反対になじる。逆に問いつめる。逆手(ｷﾞｬｸﾃ)を取る。〈日本国語大辞典〉"
B0011,1,【襟刳】りの汚れは目立つ,えりぐ,"関連熟語：--
★襟刳り（えりぐ-り）
洋服などで、首回りに従ってくりあけた襟回りの線。ネックライン。〈日本国語大辞典〉"
B0012,1,【己巳】の日は弁才天の縁日である,つちのとみ,"関連熟語：己巳（キシ）
★十干十二支。"
B0013,1,【庚戌】の歳、旅舎に休う,かのえいぬ,"関連熟語：庚戌（コウジュツ）
★十干十二支。"
