ID,難易度,問題,解答,別答,意味
F0001,1,樹懶,なまけもの,,ナマケモノ科の哺乳（ホニュウ）動物の総称。中南米の森林にすむ。体形はサルに似るが、動作はたいへん鈍い。四肢で体を支えきれず、かぎ状の爪（つめ）で木の枝にぶらさがり、木の葉や果実を食べる。〈漢字ペディア〉
F0002,1,石決明,あわび,,ミミガイ科の巻貝の総称。＝鮑、蚫、鰒〈漢字ペディア〉
F0003,1,蛞蝓,なめくじ,,ナメクジ科の軟体動物。カタツムリに似るが殻はない。湿気を好み、草花や野菜を食害。ナメクジラ。〈漢字ペディア〉
F0004,1,虎魚,おこぜ,,オニオコゼ科とハオコゼ科の海魚の総称。＝鰧〈漢字ペディア〉
F0005,1,秧鶏,くいな,,クイナ科の鳥の総称。＝水鶏〈漢字ペディア〉
F0006,1,馴鹿,となかい,,シカ科の哺乳（ホニュウ）動物。北極付近のツンドラ地帯にすみ、家畜化されている。体は褐色で、雌雄ともに角がある。肉と乳は食用。〈漢字ペディア〉
F0007,1,山毛欅,ぶな,,ブナ科の落葉高木。温帯の山地に自生。樹皮は灰色。葉は広い卵形。実は「どんぐり」と呼ばれる。＝椈〈漢字ペディア〉
F0008,1,海扇,ほたてがい,,イタヤガイ科の二枚貝。海底の砂地にすむ。養殖も盛ん。殻は大きく扇形をしている。食用で、特に貝柱が大きく美味。＝帆立貝〈漢字ペディア〉
F0009,1,胡籙,やなぐい,,矢を入れて携行する道具。〈漢字ペディア〉
F0010,1,馬酔木,あせび,あしび,ツツジ科の常緑低木。山地に自生。早春、つぼ形の白い小花を総状につける。葉や枝は有毒。葉は殺虫剤に用いる。〈漢字ペディア〉
F0011,1,浮塵子,うんか,,ウンカ科の昆虫の総称。セミに似るが、体長約五（ミリメートル）と小さい。大群をなして飛ぶ。イネやムギなどの害虫。〈漢字ペディア〉
F0012,1,梭魚,かます,,カマス科の海魚の総称。＝梭子魚、魳〈漢字ペディア〉
F0013,1,梭子魚,かます,,カマス科の海魚の総称。＝梭魚、魳〈漢字ペディア〉
F0014,1,天牛,かみきりむし,,カミキリムシ科の甲虫の総称。体は細長く、触角はきわめて長い。頑丈な大あごがあり、枝などをかみ切る。＝髪切虫〈漢字ペディア〉
F0015,1,柳葉魚,ししゃも,,キュウリウオ科の海魚。北海道南東部の沿岸にすむ。ワカサギに似て、体は細長い。産卵期に大群で川をのぼる。多くは干物にして食べる。〈漢字ペディア〉
F0016,1,腁胝,たこ,,"#＝腁、胝
1.皮膚の一部分が繰り返し同じ刺激を受け、固く盛り上がったもの。
2.同じことの繰り返しで、感じなくなること。〈漢字ペディア〉"
F0017,1,三和土,たたき,,土やコンクリートで固めた台所や玄関の土間。〈漢字ペディア〉
F0018,1,花楸樹,ななかまど,,バラ科の落葉小高木。＝七竈〈漢字ペディア〉
F0019,1,海鼠,なまこ,,ナマコ類の棘皮（キョクヒ）動物の総称。海底にすむ。体は円筒形で、背にいぼのような突起が多数ある。食用。〈漢字ペディア〉
F0020,1,沙魚,はぜ,,ハゼ科の魚の総称。＝鯊、蝦虎魚〈漢字ペディア〉
F0021,1,蝦虎魚,はぜ,,ハゼ科の魚の総称。＝鯊、沙魚〈漢字ペディア〉
F0022,1,羊栖菜,ひじき,,褐藻類ホンダワラ科の海藻。＝鹿尾菜、鹿角菜〈漢字ペディア〉
F0023,1,翻筋斗,もんどり,,飛び上がって空中で一回転すること。とんぼがえり。〈漢字ペディア〉
F0024,1,豪猪,やまあらし,,ヤマアラシ科の哺乳（ホニュウ）動物の総称。南北アメリカにすむ。体と尾の上面にとげ状の硬い毛があり、敵から身を守る。＝山荒〈漢字ペディア〉
F0025,1,坩堝,るつぼ,,"1.金属などを入れて溶かす耐熱性の容器。
2.大勢の人が熱狂した状態のたとえ。
3.種々のものが入り混じる状態のたとえ。〈漢字ペディア〉"
F0026,1,糸葱,あさつき,,ユリ科の多年草。＝浅葱〈漢字ペディア〉
F0027,1,信天翁,あほうどり,,アホウドリ科の鳥。乱獲で減り、伊豆諸島の鳥島でのみ繁殖。翼を広げると二（メートル）をこす。全体に白色で、翼と尾羽の先端は黒褐色。特別天然記念物。国際保護鳥。＝阿房鳥〈漢字ペディア〉
F0028,1,醬蝦,あみ,,アミ科の甲殻類の総称。ほとんどは海産で、一部湖にすむ。形はエビに似るが、体長は一（センチメートル）ほど。つくだ煮などにして食用にするほか、魚のまき餌（え）にする。＝糠蝦〈漢字ペディア〉
F0029,1,以色列,いすらえる,,アジア南西部の地中海沿岸にある共和国。アラブ諸国に囲まれ紛争が絶えない。首都はエルサレム（国際的には未承認）。〈漢字ペディア〉
F0030,1,覆盆子,いちご,,バラ科の落葉小低木または多年草の総称。＝苺〈漢字ペディア〉
F0031,1,鳶尾,いちはつ,,アヤメ科の多年草。中国原産。葉は剣形。晩春、紫色や白色のアヤメのような花をつける。＝一八、鴟尾草〈漢字ペディア〉
F0032,1,海参,いりこ,,ナマコの腸（はらわた）を取り除き、ゆでて干したもの。中国料理の高級材料。ほしこ。ほしなまこ。＝熬海鼠、煎海鼠〈漢字ペディア〉
F0033,1,裲襠,うちかけ,,江戸時代、武家の女性の礼服。帯を締めた上からかけるように着る、丈の長い小袖（こそで）。現在も花嫁衣装として用いる。＝打掛〈漢字ペディア〉
F0034,1,善知鳥,うとう,,ウミスズメ科の鳥。北日本の沿岸や小島にすむ。ハトぐらいの大きさ。背と胸は黒褐色、腹は白色。くちばしはだいだい色で、繁殖期には上部に突起ができる。〈漢字ペディア〉
F0035,1,後朝,きぬぎぬ,,"#＝衣衣
1.男女が共寝をした翌朝。
2.愛し合った男女の別れ。夫婦の離別。〈漢字ペディア〉"
F0036,1,胡頽子,ぐみ,,グミ科の植物の総称。＝茱萸〈漢字ペディア〉
F0037,1,慈姑,くわい,,オモダカ科の多年草。中国原産。水田で栽培。葉はやじり形。地下の球茎に芽が出ていることから縁起をかついで正月などに食べる。〈漢字ペディア〉
F0038,1,蝙蝠,こうもり,,"1.翼手目の哺乳（ホニュウ）動物の総称。顔はネズミに似る。前肢の指の間に飛膜があり、空中を飛ぶ。昼間は暗い所にぶら下がっていて、夜間に活動する。カワホリ。
2.「蝠傘」の略。
3.①が鳥か獣か区別しにくいことから、どっちつかずの態度をとる人のたとえ。〈漢字ペディア〉"
F0039,1,蜚蠊,ごきぶり,あぶらむし,ゴキブリ科の昆虫の総称。体は平たくて楕円（ダエン）形。多くは黒褐色で、油を塗ったような光沢がある。夜間に活動する。アブラムシ。〈漢字ペディア〉
F0040,1,牛尾魚,こち,,コチ科の海魚。暖海の砂底にすむ。上下に平たく、頭と口は大きく、尾は細い。食用。＝鯒、鮲〈漢字ペディア〉
F0041,1,顳顬,こめかみ,,耳の上方、目じりのわきで、物をかむと動く部分。＝蟀谷〈漢字ペディア〉
F0042,1,蟀谷,こめかみ,,耳の上、目じりのわきの、物をかむと動く部分。＝顳顬〈漢字ペディア〉
F0043,1,吃逆,しゃっくり,,横隔膜がけいれんを起こし、急に空気を吸いこむことで声門が開き音を発する現象。＝噦り〈漢字ペディア〉
F0044,1,踏鞴,たたら,,"#＝蹈鞴
出典不明。"
F0045,1,黄楊,つげ,,ツゲ科の常緑低木。暖地の山地に自生。葉は楕円（ダエン）形で革質。材は黄色で堅く、櫛（くし）・将棋の駒（こま）・版木などに用いる。＝柘植〈漢字ペディア〉
F0046,1,紅娘,てんとうむし,,テントウムシ科の甲虫の総称。＝瓢虫、天道虫〈漢字ペディア〉
F0047,1,石竜子,とかげ,,トカゲ科の爬虫（ハチュウ）類の総称。＝蝘蜓、石竜子〈漢字ペディア〉
F0048,1,熨斗,のし,,"#＝熨
1.「火熨斗（ひのし）」の略。炭火の熱でしわをのばす器具。
2.「熨斗鮑（のしあわび）」の略。
3.②の形式化したもの。紅白の色紙を折り、熨斗鮑に模した黄色い紙を入れて進物に添える。印刷したものや「のし」と書いて代用するものもある。〈漢字ペディア〉"
F0049,1,飯匙倩,はぶ,,クサリヘビ科のヘビ。＝波布〈漢字ペディア〉
F0050,1,只管,ひたすら,,そのことだけに専心するさま。いちずに。＝一向〈漢字ペディア〉
F0051,1,天鵝絨,びろーど,,毛を立たせた毛羽（けば）などで表面を覆った、柔らかくなめらかな織物。ベルベット。〈漢字ペディア〉
F0052,1,風信子,ひやしんす,,ユリ科の多年草。地中海沿岸原産。葉は鱗茎（リンケイ）から出て広線形。春、香りのよい赤・青・紫・白色などのラッパ形の花を総状につける。ニシキユリ。〈漢字ペディア〉
F0053,1,海蘿,ふのり,,紅藻類フノリ科の海藻の総称。＝布海苔〈漢字ペディア〉
F0054,1,酸漿,ほおずき,,"#＝鬼灯
1.ナス科の多年草。観賞用に庭に植える。初夏、白色の花をつけ、袋状の萼（ガク）に包まれた球形の果実を結ぶ。赤く熟した果実の種を取り除き、口で鳴らして遊ぶ。
2.子どもが口に入れて鳴らすおもちゃ。〈漢字ペディア〉"
F0055,1,蜀魂,ほととぎす,,ホトトギス科の鳥。＝鵑、杜鵑、杜宇、不如帰、子規、時鳥、郭公、蜀魄、霍公鳥、沓手鳥〈漢字ペディア〉
F0056,1,小火,ぼや,,ごく一部が燃えただけで、大事に至る前に消し止めた火事。〈漢字ペディア〉
F0057,1,珠鶏,ほろほろちょう,,ホロホロチョウ科の鳥。アフリカ原産。体は丸く、黒地に細かい白斑（ハクハン）がある。顔や首は裸出し、頭上に赤い突起がある。食用。〈漢字ペディア〉
