ID,難易度,熟語,意味,読み,文章
A0001,◆１,蹉跌,"蹉跌（さてつ）
┌1.つまずくこと。
└2.障害や失敗があって、行き詰まること。≒挫折〈漢字ペディア〉
┌物事がうまく進まず、しくじること。挫折。失敗。〈大辞泉〉
┌1.つまずいて足をすべらす。
└2.ちぐはぐになって、失敗する。〈漢字源〉",さてつ,つまずくこと。障害や失敗があって、行き詰まること。
A0002,◆１,錚錚,"錚錚（そうそう）
┌1.金属が打ちあたって、澄んで鳴る音の形容。
├2.琴や琵琶のちんちんという音の形容。
├3.秋風の音の形容。
└4.転じて、凡人の中で少しすぐれたもののたとえ。〈新漢和大字典〉
┌1.金属や楽器の音がさえて響くさま。
└2.多くのものの中で特にすぐれているさま。〈大辞泉〉
┌1.「錚然(ｿｳｾﾞﾝ:金属のぶつかり合う音の形容。また、楽器の澄んだ音の形容。)」に同じ。
└2.人物がすぐれてりっぱなさま。〈漢字ペディア〉",そうそう,金属が打ちあたって、澄んで鳴る音の形容。琴や琵琶のちんちんという音の形容。秋風の音の形容。転じて、凡人の中で少しすぐれたもののたとえ。
A0003,◆１,霍乱,"霍乱（かくらん）
┌漢方で、日射病をさした語。また、夏に起きやすい、激しい吐き気･下痢などを伴う急性の病気をいった。〈大辞泉〉
┌コレラなどの下痢症状。〈字通〉
┌日射病。また、暑気あたりによって吐きくだしをする病気。〈漢字ペディア〉
★鬼(ｵﾆ)の霍乱…ふだん丈夫な人が珍しく病気になることをひやかしていう語。〈漢字ペディア〉",かくらん,漢方で、日射病をさした語。また、夏に起きやすい、激しい吐き気･下痢などを伴う急性の病気をいった。
A0004,◆１,明礬,"明礬（みょうばん）
┌カリウム･アンモニウム･ナトリウムなどの一価イオンの硫酸塩と、アルミニウム･クロム･鉄などの三価イオンの硫酸塩とが化合した複塩の総称。〈大辞泉〉
┌硫酸アルミニウムとアルカリ金属などの結合物で、無色透明の正八面体の結晶。染色・医薬・製紙などに使用される。〈漢字ペディア〉",みょうばん,カリウム･アンモニウム･ナトリウムなどの一価イオンの硫酸塩と、アルミニウム･クロム･鉄などの三価イオンの硫酸塩とが化合した複塩の総称。
A0005,◆１,炬燵,"炬燵（こたつ）
┌暖房器具の一つ。炭火などの熱源の上にやぐらをかぶせ、上を布団でおおったもの。〈漢字ペディア〉
┌熱源をやぐらでおおい、その上に布団を掛けて暖をとるもの。〈大辞泉〉",こたつ,暖房器具の一つ。炭火などの熱源の上にやぐらをかぶせ、上を布団でおおったもの。
A0006,◆１,梵唄,"梵唄（ぼんばい）
┌仏教讃歌。〈字通〉
┌1.仏典の偈、または頌を調子を合わせて歌うこと。声明。
2.法会のはじめに偈をよんで仏の徳をほめたたえること。〈新漢和大字典〉
┌1.声明の別称。└2.梵語の歌詞による唄。〈大辞林〉
┌1.「声明(ショウミョウ)」の別称。
└2.①のうち、梵語を漢字音訳した歌詞による唄(うた)。法会の始まりに僧が独唱する経文。〈漢字ペディア〉",ぼんばい,仏教讃歌。
A0007,◆１,荼毘,"荼毘（だび）
┌火葬のこと。〈大辞林〉
┌火葬にすること。〈漢字ペディア〉",だび,火葬のこと。
A0008,◆１,痙攣,"痙攣（けいれん）
┌全身的または部分的に筋肉が収縮し、不随意運動を起こすこと。持続的にみられる強直性のもの、間欠的にみられる間代性のものなどがあり、脳疾患･髄膜炎･中毒･ホルモンの異常などが原因。〈大辞泉〉
┌筋肉がひきつること。また、筋肉が引きつれる病気〈漢字源〉
┌筋肉が急激に収縮し、ひきつること。ひきつり。〈漢字ペディア〉",けいれん,全身的または部分的に筋肉が収縮し、不随意運動を起こすこと。持続的にみられる強直性のもの、間欠的にみられる間代性のものなどがあり、脳疾患･髄膜炎･中毒･ホルモンの異常などが原因。
A0009,◆１,馮河,"馮河（ひょうが）
┌徒歩で黄河を渡ること。無謀なことを行うたとえ。〈大辞泉〉
┌無謀な行動のたとえ。徒歩で大きな川を渡る意から。〈漢字ペディア〉
★暴虎馮河…トラに素手で立ち向かい、黄河を徒歩で渡ること。血気にはやり無謀なことをすることのたとえ。〈大辞泉〉",ひょうが,徒歩で黄河を渡ること。無謀なことを行うたとえ。
A0010,◆１,嚆矢,"嚆矢（こうし）
┌かぶらや。なりかぶら。戦のはじめ。また、ものの起こり。〈字通〉
┌1.かぶらや。
└2.物事のはじめ。〈漢字源〉
┌1.かぶら矢。鳴りひびく矢。
└2.物事の最初。起源。おこり。昔、中国で戦いの開始のしるしとして、かぶら矢を敵陣に射たことから。〈漢字ペディア〉",こうし,かぶらや。なりかぶら。戦のはじめ。また、ものの起こり。
A0011,◆１,褥瘡,"褥瘡（じょくそう）
┌一定の部位が圧迫されて壊死潰爛する瘡瘍。床ずれ。〈新漢和大字典〉
┌圧迫性壊疽の一種。重症患者が長期間臥床している時、皮下脂肪の減少、皮膚循環の障害により、体重がかかる部分やほかの圧迫が体にかかっている場所にできる潰瘍。とこずれ。蓐傷。≒蓐瘡〈日本国語大辞典〉
┌病気などで衰弱した体で長く寝ているとき、床にあたる身体の部分が赤くただれて傷つき、痛むこと。床ずれ。≒蓐瘡〈漢字ペディア〉",じょくそう,一定の部位が圧迫されて壊死潰爛する瘡瘍。床ずれ。
A0012,◆１,婉娩,"婉娩（えんべん、えんばん）
┌おとなしく、すなおなこと。温順。〈漢字源〉
┌1.おだやかで、素直なさま。
├2.しとやかでうつくしい。
├3.天気が穏やかなさま。
├4.含蓄に富むさま。
├5.日が暮れたさま。
└6.年老いたさま。〈漢辞海〉",えんべん、えんばん,おとなしく、すなおなこと。温順。
A0013,◆１,霄壌,"霄壌（しょうじょう）
┌1.天と地。天地。
└2.天と地ほども大きな違いがあることのたとえ。雲泥。〈新漢和大字典〉
┌1.天と地。天地。
└2.天地ほどに、大きな隔たりであることのたとえ。雲泥。〈漢辞海〉
┌天と地。また、天と地のように非常に隔たりのあるたとえ。≒雲泥〈漢字ペディア〉
★霄壌の差(ｻ)…天と地との隔たりのような、大きな違い。雲泥の差。〈大辞泉〉",しょうじょう,天と地。天地。天と地ほども大きな違いがあることのたとえ。雲泥。
A0014,◆１,罨法,"罨法（あんぽう）
┌炎症や充血をとるために、水･湯･薬などで患部を冷やすか温めるかする治療法。湿布。〈大辞泉〉
┌炎症や痛みなどを和らげるために、患部を冷やしたり温めたりする治療方法。〈漢字ペディア〉",あんぽう,炎症や充血をとるために、水･湯･薬などで患部を冷やすか温めるかする治療法。湿布。
A0015,◆１,腱鞘,"腱鞘（けんしょう）
┌腱を包んでいる鞘状の結合組織。中に潤滑液があって腱の滑りをよくしている。〈大辞泉〉
┌手足の腱の鞘のように取り巻いている滑液の入った囊。腱の滑りをよくするための機構。〈日本国語大辞典〉",けんしょう,腱を包んでいる鞘状の結合組織。中に潤滑液があって腱の滑りをよくしている。
A0016,◆１,静謐,"静謐（せいひつ）
┌1.静かで落ち着いていること。また、そのさま。
└2.世の中が穏やかに治まっていること。また、そのさま。〈大辞泉〉
┌静かで安らかなさま。〈漢辞海〉",せいひつ,静かで落ち着いていること。また、そのさま。世の中が穏やかに治まっていること。また、そのさま。
A0017,◆１,跋扈,"跋扈（ばっこ）
┌権威をほしいままにして、のさばり、はびこること。また、思うがままに振る舞うこと。〈漢字ペディア〉
┌1.枠をはずして勝手にはびこること。
├2.転じて、あたりを踏みにじり、思うままに勢力をふるう。
└3.下の者が勢力を持ち、上の者をしのぐこと。〈新漢和大字典〉
┌ほしいままに振る舞うこと。また、のさばり、はびこること。〈大辞泉〉
★魚がかごを越えて跳ねることから転じた。",ばっこ,権威をほしいままにして、のさばり、はびこること。また、思うがままに振る舞うこと。
A0018,◆１,鍼灸,"鍼灸（しんきゅう）
┌はりと灸(ｷｭｳ)を使って行う治療法。〈漢字ペディア〉
┌漢方で、治療のためにはりを打ったり灸をすえたりすること。≒針灸〈大辞泉〉",しんきゅう,はりと灸を使って行う治療法。
A0019,◆１,雷霆,"雷霆（らいてい）
┌激しい雷。〈漢字源〉
┌1.雷。また、雷の響き。
├2.たけだけしいさま。勇ましい軍隊のたとえ。
└3.天子や目上の人の怒り。〈漢辞海〉",らいてい,激しい雷。
A0020,◆１,鶺鴒,"鶺鴒（せきれい）
┌鳥の名。セキレイ。水辺にすむ美しい小鳥。〈新漢和大字典〉
┌スズメ目セキレイ科の鳥のうち、キセキレイ･セグロセキレイ･ハクセキレイなどの総称。水辺でみられ、スズメより大形。尾が長く上下に振る習性がある。〈大辞泉〉",せきれい,鳥の名。セキレイ。水辺にすむ美しい小鳥。
A0021,◆１,忸怩,"忸怩（じくじ）
┌自分の行いをはずかしく思うようす。〈漢字ペディア〉
┌心にはじてきまりわるがるさま。〈漢字源〉",じくじ,自分の行いをはずかしく思うようす。
A0022,◆１,拈華,"拈華（ねんげ）
┌花をひねること。〈大辞泉〉
┌花をひねって取ること。ふつう「拈華微笑(ネンゲミショウ)」の故事にもとづいて用いられる。〈漢字ペディア〉
★拈華微笑(ﾐｼｮｳ)…仏語。釈迦が霊鷲山(ﾘｮｳｼﾞｭｾﾝ)で説法した際、花をひねり大衆に示したところ、だれにもその意味がわからなかったが、ただ摩訶迦葉(ﾏｶｶｼｮｳ)だけが真意を知って微笑したという故事。そこで釈迦は彼にだけ仏教の真理を授けたといい、禅宗で、以心伝心で法を体得する妙を示すときの語。〈大辞泉〉",ねんげ,花をひねること。
A0023,◆１,逡巡,"逡巡（しゅんじゅん）
┌決断できないで、ぐずぐずすること。しりごみすること。ためらい。〈大辞泉〉
┌1.後ずさりする。
└2.たちすくむ。ぐずぐずしてためらう。〈新漢和大字典〉
★狐疑(ｺｷﾞ)逡巡･･･疑いためらってぐずぐずすること。〈大辞泉〉",しゅんじゅん,決断できないで、ぐずぐずすること。しりごみすること。ためらい。
A0024,◆１,真鍮,"真鍮（しんちゅう）
┌銅と亜鉛との合金。黄色でさびにくく、鋳造･加工が容易なので、機械器具･日用品･工芸品などに広く用いられる。黄銅。〈大辞泉〉
┌銅と亜鉛との合金。〈漢辞海〉",しんちゅう,銅と亜鉛との合金。黄色でさびにくく、鋳造･加工が容易なので、機械器具･日用品･工芸品などに広く用いられる。黄銅。
A0025,◆１,慙愧,"慙愧（ざんき）
┌深く恥じる。また、心にこたえるはじ。〈漢字源〉
┌深く恥じ入る。≒慙羞、慙恥〈漢辞海〉",ざんき,深く恥じる。また、心にこたえるはじ。
A0026,◆１,駱駝,"駱駝（らくだ）
┌1.ラクダ科の哺乳動物。野生のものはほとんどなく、家畜として飼育。背中のこぶに脂肪を蓄え、それを分解して水にすることができるので、砂漠の生活に適している。乗用や運搬用。乳や肉は食用。毛は織物用。ダバ。
└2.ラクダの毛で作った繊維。また、その織物。〈漢字ペディア〉
┌ラクダ科の大形の哺乳類。砂漠地帯にすみ、背にこぶがあり、温順な性質で、乗用や荷物の運搬用に使われる。〈漢辞海〉",らくだ,ラクダ科の哺乳動物。野生のものはほとんどなく、家畜として飼育。背中のこぶに脂肪を蓄え、それを分解して水にすることができるので、砂漠の生活に適している。乗用や運搬用。乳や肉は食用。毛は織物用。ダバ。ラクダの毛で作った繊維。また、その織物。
A0027,◆１,惨憺,"惨憺（さんたん）
┌≒惨澹、惨淡
├1.じめじめして薄暗いさま。
├2.あれこれと心を痛めるさま。
└3.見るも気の毒な、痛ましいさま。〈漢字源〉
┌≒惨澹
├1.あれこれと心を悩ますさま。
└2.いたましく悲しいさま。〈漢字ペディア〉",さんたん,じめじめして薄暗いさま。あれこれと心を痛めるさま。見るも気の毒な、痛ましいさま。
A0028,◆１,痼疾,"痼疾（こしつ）
┌容易に治らないで、長い間悩まされている病気。持病。〈大辞泉〉
┌1.長い間わずらっていてなかなか治らない病気。
└2.こりかたまってなおりにくい癖。〈漢字源〉
┌いつまでも完治しない病気。ながわずらい。持病。〈漢字ペディア〉",こしつ,容易に治らないで、長い間悩まされている病気。持病。
A0029,◆１,逍遥,"逍遥（しょうよう）
┌1.そろそろと歩きまわる。ぶらつく。
└2.俗事を離れて気ままな生活を楽しむこと。〈漢字源〉
┌気ままにあちこちを歩き回ること。そぞろ歩き。散歩。〈大辞泉〉
┌気ままに歩くこと。そぞろ歩き。≒散策、漫歩〈漢字ペディア〉",しょうよう,そろそろと歩きまわる。ぶらつく。俗事を離れて気ままな生活を楽しむこと。
A0030,◆１,蜿蜒,"蜿蜒（えんえん）
┌≒蜿蜿、蜒蜒
├1.ヘビなどがうねり進むようす。
└2.うねうねと長く続くようす。〈漢字ペディア〉
┌1.龍やへびがうねりながら動くさま。≒蜿蜿
└2.屈曲しながらうねうねと長く続くさま。〈漢字源〉",えんえん,ヘビなどがうねり進むようす。うねうねと長く続くようす。
A0031,◆１,喀痰,"喀痰（かくたん）
┌痰を吐くこと。また、吐いた痰。〈大辞泉〉
┌たんをはくこと。また、はき出したたん。〈漢字ペディア〉",かくたん,痰を吐くこと。また、吐いた痰。
A0032,◆１,駘蕩,"駘蕩（たいとう）
┌1.さえぎるものなどがなく、のびのびとしているさま。
└2.春の情景などが、平穏でのんびりとしているさま。〈大辞泉〉
┌1.のどかなさま。
└2.のびのびとしたさま。〈漢字ペディア〉",たいとう,さえぎるものなどがなく、のびのびとしているさま。春の情景などが、平穏でのんびりとしているさま。
A0033,◆１,潺湲,"潺湲（せんかん、せんえん）
┌1.さらさらと流れるさま。また、流れる水の音。
└2.涙がはらはらと流れるさま。≒潸然〈漢字源〉
┌1.水がさらさらと流れるさま。また、その音。
└2.涙の流れるさま。さめざめ。〈漢字ペディア〉",せんかん、せんえん,さらさらと流れるさま。また、流れる水の音。涙がはらはらと流れるさま。
A0034,◆１,不逞,"不逞（ふてい）
┌勝手に振る舞うこと。道義に従わないこと。〈大辞泉〉
┌勝手きままにずうずうしく行動すること。〈漢字ペディア〉",ふてい,勝手に振る舞うこと。道義に従わないこと。
A0035,◆１,瀟灑,"瀟灑（しょうしゃ）
┌こざっぱりして清らかである。≒瀟洒〈漢字源〉
┌さっぱりとして、清らか。〈字通〉
┌すっきりとして洗練されているようす。≒瀟洒〈漢字ペディア〉
┌≒瀟洒、蕭洒
├1.さわやかなさま。さっぱりとしてきれいなさま。
└2.俗気が抜けて淡泊なさま。あっさりとして物にこだわらないさま。〈日本国語大辞典〉",しょうしゃ,こざっぱりして清らかである。
A0036,◆１,謦咳,"謦咳（けいがい）
┌1.せきばらい。軽いものを「謦」、重いものを「咳」という。
└2.話したり笑ったりすること。〈漢字ペディア〉
┌1.せきばらい。
└2.せいたり談笑したりする日常の暮らし。〈新漢和大字典〉
┌せきばらい。しわぶき。また、人が笑ったり話したりすること。〈大辞泉〉",けいがい,せきばらい。軽いものを「謦」、重いものを「咳」という。話したり笑ったりすること。
A0037,◆１,剪刀,"剪刀（せんとう）
┌はさみ。≒翦刀〈漢字源〉
┌はさみ。特に外科手術用のはさみ。≒翦刀〈漢字ペディア〉",せんとう,はさみ。
A0038,◆１,掉尾,"掉尾（とうび、ちょうび）
┌1.物事や文章の終わりの勢いがよいこと。また、そのさま。
└2.終わり。〈漢字ペディア〉
┌尾をふるう。〈字通〉
┌1.尻尾を振る。
├2.(国)物事の最後の勢いがさかんなさま。
└3.(国)物事の最後。〈新漢和大字典〉",とうび、ちょうび,物事や文章の終わりの勢いがよいこと。また、そのさま。終わり。
A0039,◆１,叮嚀,"叮嚀（ていねい）
┌念入りで、親切にすること。〈漢字源〉
┌≒丁寧〈漢字ペディア〉
┌≒丁寧
├1.昔、中国の軍中で、警戒の知らせや注意の為に用いられた楽器。
├2.注意深く念入りであること。こまかいところまで注意がゆきとどいていること。また、そのさま。
├3.手厚く親切なこと。ねんごろで礼儀正しいこと。また、そのさま。懇切。慇懃。
├4.何度も繰り返すこと。再三再四行うこと。また、そのさま。多く、何度も忠告する意に用いられる。
└5.（接頭語「ご」を伴って）冗長なこと。無駄に多いこと。また、そのさまを皮肉に言うときに用いる。〈日本国語大辞典〉",ていねい,念入りで、親切にすること。
