ID,問題,難易度,解答,別答,意味
C0001,蓴鱸、郷の【オモカゲ】を見て憂う,-,俤,,"#＝面影
★人と、その弟が似ていることからできた字。「おもかげ」は「面影」の意。"
C0002,敷石の上の駛走する【クルマ】,-,俥,,"人力車。〈漢字ペディア〉
★「人がひく車」の意を表す国字。"
C0003,寒冽の地に吹く【コガラシ】に身を竦める,-,凩,,"秋の末から冬にかけて強く吹く冷たい風。〈漢字ペディア〉
★木を吹きからす風(几)の意を表す国字。また、「こがらし」は木枯らしの意。"
C0004,圉人は筵の【カマス】を佩びる,-,叺,,"穀物などを入れるのに用いる、むしろで作った袋。〈漢字ペディア〉
★口から入れる意を表す字。
★魳(ｶﾏｽ)は、カマス科の海魚の総称。"
C0005,三百七【フィート】の高塔から響く鐘の音,-,呎,,"長さの単位。約30.5センチメートル。ft。〈漢字ペディア〉
★英語の「フィート」に当てた国字。中国でも用いられている。"
C0006,罍には約二十【ガロン】の酒が入っている,-,呏,,容量の単位。1ガロンはイギリスで約4.5リットル、アメリカと日本で約3.8リットル。gal。〈漢字ペディア〉
C0007,【イリ】の口に桜が浮いている,-,圦,,堤に埋めて、用水・下水の流れを調節する樋(ﾄｲ)。水門。〈漢字ペディア〉
C0008,上州名物【カカア】天下に空っ風,-,嬶,,"#＝嚊
自分の妻または他人の妻を親しんでいう語。またぞんざいに呼ぶ語。〈大辞泉〉
★鼻息のあらい女の意からできた字。"
C0009,三度去られし十行半の【カカ】,-,嬶,,"#＝嚊
庶民階層で、妻をいう語。かかあ。〈大辞泉〉
★鼻息のあらい女の意からできた字。"
C0010,盗人に銀の【ナタ】,-,屶,,"#＝鉈
幅が広く厚い刃物に柄(ｴ)をつけたもの。まきなどを割る刃物。〈漢字ペディア〉
★「山刀(なた)」を一つに合わせた国字。"
C0011,【テ】爾乎波が合わない,-,弖,,助詞の「て」の当て字。〈漢字ペディア〉
C0012,数多の苦痛に【コラ】える,-,怺,,"#＝堪える
苦しみをがまんする。〈漢字ペディア〉"
C0013,食わせておいて【サテ】と言い,-,扨,,"#＝偖、扠
ところで。話題を改めるときの接続詞。〈漢字ペディア〉
★「扠(ｻ)」の字形の変化したものという。"
C0014,種種様様の口を【ムシ】りかける,-,挘,毟,"1.つかんだりつまんだりして引き抜く。
2.肉や魚などの身をほぐす。
3.おどして、財産などをすべて奪いとる。
4.綿などをちぎってふっくらとさせる。〈大辞泉〉
★「挘」は、手で、力ずくで少なくすることを表す国字。
★「毟」は、毛を少なくすることを表す国字。"
C0015,飛彈の工、和泉の【ソマ】,-,杣,,"1.木材を切りだす山。
2.山から切りだした木。〈漢字ペディア〉
★木をとる山を表す字。"
