ID,問題,語群,難易度,解答,別答,出典,意味,四字熟語,ハイライト
E0001,見識が狭く世間知らずの人のたとえ。,"甕裡[醯鶏]
[藜杖]韋帯
銅駝[荊棘]
門巷[塡隘]",◆１,けいけい,,＊『荘子-田子坊』,"甕裡醯鶏／甕裏醯鶏（おうりけいけい）
★「裡」は、中の意。
★「醯鶏」は、酒や酢を入れた甕(ｶﾒ)にわく小虫。かつおむし。
★甕の中にわく小さな羽虫の意。
類：醯鶏甕裡（けいけいおうり）
類：井底之蛙（せいていのあ）
●H28-1㈣意",甕裡醯鶏,醯鶏
E0002,きわめて質素なこと。,"[伯兪]泣杖
[藜杖]韋帯
門巷[塡隘]
黄衣[廩食]",◆１,れいじょう,,＊『陳書-宣帝紀』,"藜杖韋帯（れいじょういたい）
★あかざ（藜）の茎で作った杖と、なめし皮（韋）の帯の意。いずれも粗末なもの。
類：土階三等（どかいさんとう）
●H28-1㈣意",藜杖韋帯,藜杖
E0003,全身で喜びをあらわす。,"甕裡[醯鶏]
[笙磬]同音
関関[雎鳩]
[鳧趨]雀躍",◆１,ふすう,,＊『盧照鄰-窮魚賦』,"鳧趨雀躍（ふすうじゃくやく）
★「鳧趨」は、鴨が小走りに歩く意。そのさまから、小躍りする様子のたとえ。
★「雀躍」は、雀が踊る意。また、そのように喜んで小躍りすること。
類：欣喜雀躍（きんきじゃくやく）
類：手舞足踏（しゅぶそくとう）
●H28-1㈣意／●R1-3㈣意",鳧趨雀躍,鳧趨
E0004,国の滅亡を嘆くたとえ。,"[藜杖]韋帯
門巷[塡隘]
銅駝[荊棘]
[伯兪]泣杖",◆１,けいきょく,,＊『晋書-索靖伝』,"銅駝荊棘（どうだけいきょく）
★「駝」は、らくだ。
★「荊棘」は、いばらの意で、乱れた状態のたとえ。
★宮殿が破壊され尽くし、銅製の駱駝がイバラの中にうち捨てられているのを嘆く意。
★晋の索靖（ｻｸｾｲ）は、先見の明があり、国が乱れるのを予知し、宮門にある銅製の駱駝（銅駝）を見て「この駱駝もイバラ（荊棘）の中にうち捨てられることであろう」と嘆いた故事から。
故事：「銅駝(ﾄﾞｳﾀﾞ)の荊棘(ｹｲｷｮｸ)に在(ｱ)るを嘆く」
類：荊棘銅駝（けいきょくどうだ）
●H28-1㈣意",銅駝荊棘,荊棘
E0005,夫婦仲が非常に良いこと。,"[銅牆]鉄壁
関関[雎鳩]
[鳧趨]雀躍
昏定[晨省]",◆１,しょきゅう,,＊『詩経-周南･関雎』,"関関雎鳩（かんかんしょきゅう）
★「関関」は、鳥の和らぎ鳴く声の形容。
★「雎鳩」は、水鳥の名で、みさごの意。
★仲の良い雄と雌のみさごが、川の州でのどかに鳴きかわしているさまを言う。
類：比翼連理（ひよくれんり）
類：琴瑟相和（きんしつそうわ）
類：鴛鴦之契（えんおうのちぎり）
●H28-1㈣意",関関雎鳩,雎鳩
E0006,外見よりも本性を見るべきである。,"牝牡[驪黄]
[荊棘]叢裏
[薏苡]明珠
[以蠡]測海",◆１,りこう,,＊『列子-説符』,"牝牡驪黄（ひんぼりこう）
★「驪黄」は、黒色と黄色。驪は黒色の馬。
★中国秦の穆公(ﾎﾞｯｺｳ)は駿馬を求めていた。馬を見る名人伯楽(ﾊｸﾗｸ)のすすめで九方皐(ｷｭｳﾎｳｺｳ)に名馬を探させに行かせると、黄色い牝馬を見つけたという報告を受けた。上機嫌の穆公であったが、いざ馬を連れ帰ると黒い牡馬だったことから、不機嫌になった穆公は馬の色や性別を弁別できないことを怒ったのに対し、伯楽は色や性別などの見た目にこだわらずに自然に備わった能力をこそ見るべきだと説いた。その馬は比類なき天下の名馬であったという故事から。
●H28-2㈣意／●R1-1㈣意",牝牡驪黄,驪黄
E0007,漢字の一書体が作られた故事。,"子墨[兎毫]
[史籒]大篆
四六[駢儷]
筆力[扛鼎]",◆１,しちゅう,,＊『蒙求-史籒大篆』,"史籒大篆（しちゅうだいてん）
★「史籒」は、周の宣王(ｾﾝﾉｳ)のときの史官でそれまでの古文を改変して大篆という書体を作ったとされる。
●H28-2㈣意",史籒大篆,史籒
E0008,高位･高官のしるし。,"[史籒]大篆
荊釵[布裙]
黄衣[廩食]
高牙[大纛]",◆１,たいとう,だいとう,＊『欧陽脩-相州昼錦堂記』,"高牙大纛（こうがだいとう／こうがたいとう）
★「高牙」は、象牙の飾りのついた高い旗のこと。
★「大纛」は、牛の尾の飾りをさおにつるした大きな旗の意。軍隊の本営に立てるもの。
●H28-2㈣意",高牙大纛,大纛
E0009,意気が削がれ恐怖で体がすくむ。,"[脣亡]歯寒
荒瘠[斥鹵]
[銷鑠]縮栗
[飲鴆]止渇",◆１,しょうしゃく,,＊『韓愈-与少室李拾遺書』,"銷鑠縮栗（しょうしゃくしゅくりつ）
★「銷鑠」は、金属を溶かす意から、意気消沈すること。
★「縮栗」は、縮み上がって恐れること。縮慄。
●H28-2㈣意",銷鑠縮栗,銷鑠
E0010,粗末な服装のたとえ。,"泉石[膏肓]
縞衣[綦巾]
荊釵[布裙]
牝牡[驪黄]",◆１,ふくん,,＊『太平魚御覧･七一八引皇甫謐-列女伝』,"荊釵布裙（けいさいふくん）
★荊(ｲﾊﾞﾗ)の釵(ｶﾝｻﾞｼ)と、布の裙(ﾓｽｿ)の意。
★中国後漢の梁鴻(ﾘｮｳｺｳ)の妻孟光(ﾓｳｺｳ)が、いつも質素でイバラのかんざしと麻布のもすそを身に着けていたという故事から。
●H28-2㈣意",荊釵布裙,布裙
