ID,問題,指定,語群,難易度,解答,問題熟語の意味,解答熟語の意味
H0001,【繫船】,⇔,"ぎゃくと
かいらん
じくろ",◆１,解纜,"▼【繫船／係船】ケイセン
船をつなぎとめること。特に、船を動かすと損失が大きくなる場合、一時的に船を港にとめておくこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔解纜〕カイラン
┌纜(ﾄﾓﾂﾞﾅ)を解いて船が港を出ること。ふなで。≒出帆、出港、出航〈漢字ペディア〉
┌船が航海に出ること。ふなで。出帆。〈大辞泉〉
┌船のともづなを解く。出帆する。纜(ﾗﾝ)を解(ﾄ)く。〈漢辞海〉
◇漢字ペディア大見出し
●H23-3㈦"
H0002,【繫留】,⇔,"かいらん
るいせつ
ばんきん",◆１,解纜,"▼【繫留／係留】ケイリュウ
つなぎとめておくこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔解纜〕カイラン
┌纜(ﾄﾓﾂﾞﾅ)を解いて船が港を出ること。ふなで。≒出帆、出港、出航〈漢字ペディア〉
┌船が航海に出ること。ふなで。出帆。〈大辞泉〉
┌船のともづなを解く。出帆する。纜(ﾗﾝ)を解(ﾄ)く。〈漢辞海〉
◇漢字ペディア大見出し
●H19-3㈦／●H21-3㈦"
H0003,【麤笨】,⇔,"さいち
きょたん
こっしょ",◆１,細緻,"▼【麤笨／粗笨】ソホン
おおまかで、細かい点まで行き届いていないこと。また、そのさま。≒粗雑〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔細緻〕サイチ
1.きめ細かいこと。
2.注意が行き届いていて、てぬかりのないさま。≒細密、綿密、緻密〈漢字ペディア〉
◇漢字ペディア大見出し
●H25-2㈦"
H0004,【麤笨】,⇔,"せいち
ほうかく
ゆうこ",◆１,精緻,"▼【麤笨／粗笨】ソホン
おおまかで、細かい点まで行き届いていないこと。また、そのさま。≒粗雑〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔精緻〕セイチ
非常に細かくて詳しいこと。≒精細、精密、緻密〈漢字ペディア〉
◇漢字ペディア大見出し
●H21-3㈦"
H0005,【旭日】,⇔,"れいめい
けんこん
らっき",◆１,落暉,"▼【旭日】キョクジツ
朝の太陽、またその光。朝日。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔落暉〕ラッキ
沈みかけている太陽。夕日。入り日。≒落陽〈漢字ペディア〉
◇漢字ペディア大見出し
●H27-3㈦"
H0006,【安泰】,⇔,"どたい
きたい
だじゃく",◆１,危殆,"▼【安泰】アンタイ
危険や心配事もなく、無事でやすらかなこと。≒安康、安寧〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔危殆〕キタイ
非常にあぶないこと。≒危険、危急〈漢字ペディア〉
◇漢字ペディア大見出し
●H18-1㈦"
H0007,【安佚】,⇔,"おうしょう
かくしゅ
きょうだ",◆１,鞅掌,"▼【安佚／安逸】アンイツ
┌≒安逸〈漢字ペディア〉
┌気楽に過ごすこと。何もせずに、ぶらぶらと遊び暮らすこと。また、そのさま。≒安逸〈大辞泉〉
◇漢字ペディア大見出し","▼〔鞅掌〕オウショウ
┌忙しく立ち働いて暇のないこと。〈大辞泉〉
┌休みをとれないほど忙しく働くこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H20-1㈦／●H24-1㈦／●H25-3㈦"
H0008,【一掬】,⇔,"きょうだ
じゅうりん
ばんこく",◆１,万斛,"▼【一掬】イッキク
1.両手で、水などを一回すくうこと。ひとすくい。
2.わずかなことのたとえ。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔万斛〕バンコク
きわめて多い分量。〈漢字ペディア〉
★「斛」は、容量の単位で一斛は約18リットル。
◇漢字ペディア大見出し
●H30-1㈦"
H0009,【隠逸】,⇔,"しゅつろ
きそく
いんかん",◆１,出廬,"▼【隠逸】インイツ
俗世間を逃れてかくれ住むこと。≒隠遁〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔出廬〕シュツロ
引退していた人が再び世に出て活躍すること。〈漢字ペディア〉
★中国の三国時代、諸葛亮が蜀(ｼｮｸ)の劉備(ﾘｭｳﾋﾞ)の三顧の礼に感激して廬(ｲｵﾘ)を出て、蜀に仕えたという故事から。
◇漢字ペディア大見出し
●H19-1㈦"
H0010,【隠棲】,⇔,"きかん
こんほう
しゅつろ",◆１,出廬,"▼【隠棲／隠栖】インセイ
俗世間から離れて静かに生活すること。≒隠遁、隠居〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔出廬〕シュツロ
引退していた人が再び世に出て活躍すること。〈漢字ペディア〉
★中国の三国時代、諸葛亮が蜀(ｼｮｸ)の劉備(ﾘｭｳﾋﾞ)の三顧の礼に感激して廬(ｲｵﾘ)を出て、蜀に仕えたという故事から。
◇漢字ペディア大見出し
●H28-2㈦"
H0011,【隠遁】,⇔,"ようらん
こうでん
しゅつろ",◆１,出廬,"▼【隠遁】イントン
俗世間を逃れてひそやかに暮らすこと。≒隠棲、隠逸、隠居〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔出廬〕シュツロ
引退していた人が再び世に出て活躍すること。〈漢字ペディア〉
★中国の三国時代、諸葛亮が蜀(ｼｮｸ)の劉備(ﾘｭｳﾋﾞ)の三顧の礼に感激して廬(ｲｵﾘ)を出て、蜀に仕えたという故事から。
◇漢字ペディア大見出し
●H21-1㈦"
H0012,【栄達】,⇔,"かったつ
れいそく
らくはく",◆１,落魄,"▼【栄達】エイタツ
高い地位にのぼること。出世すること。≒栄進、昇進〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔落魄〕ラクハク／ラクバク／ラクタク
おちぶれること。≒零落〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-2㈦／●H18-1㈦"
H0013,【盈満】,⇔,"せいが
きけつ
てんぴん",◆１,虧欠,"▼【盈満】エイマン
1.いっぱいになること。満ち足りていること。
2.富や権力がきわめて大きいこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔虧欠〕キケツ
欠けていること。完全でないこと。〈日本国語大辞典〉
●H28-3㈦"
H0014,【黄昏】,⇔,"れいめい
へいしょく
らっき",◆１,黎明,"▼【黄昏】コウコン／たそがれ
夕暮れ。薄暗くなった夕方。
★薄暗くて人の見分けがつかず「誰(た)そ彼(かれ)」とたずねることから。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔黎明〕レイメイ
1.夜明け。明け方。
2.夜明けにあたる、物事が始まる時期のたとえ。また、新しい時代や文化･芸術などの始まり。〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-2㈦／●H20-3㈦"
H0015,【嘉尚】,⇔,"げろう
やそう
ていき",◆１,"詆毀
詆譏","▼【嘉尚】カショウ
ほめたたえること。賞賛すること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔詆毀／詆譏〕テイキ
そしること。人を悪く言うこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H26-3㈦"
H0016,【家厳】,⇔,"ねいしん
ちんてい
かじ",◆１,家慈,"▼【家厳】カゲン
自分の父の称。家君。〈日本国語大辞典〉","▼〔家慈〕カジ
母親。他人に対して自分の母をいう場合に用いる。〈日本国語大辞典〉
◇漢字ペディア下付き
●H30-1㈦"
H0017,【過疎】,⇔,"わいしょう
けんとう
ちゅうみつ",◆１,"稠密
綢密","▼【過疎】カソ
1.非常にまばらなこと。⇔過密
2.地域での人口などが少なすぎること。⇔過密〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔稠密／綢密〕チュウミツ
一か所に多く集まること。びっしりとこみ合っていること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H15-2㈦／●H18-3㈦"
H0018,【雅語】,⇔,"りご
きご
なんご",◆１,俚語,"▼【雅語】ガゴ
1.みやびやかで正しい言葉。≒雅言、⇔俗語、俗言、俚言
2.和歌などに使われた、奈良･平安時代の言葉。≒歌語、雅言、⇔俗語、俗言、俚言〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔俚語〕リゴ
1.俗間に用いられる言葉。また、ある地域の方言の語彙。俗言。俚言。
2.民間に言い伝えられてきたことわざ。俚諺。〈日本国語大辞典〉
●H28-1㈦"
H0019,【恢復】,⇔,"ちゅうそ
びよう
りかん",◆１,罹患,"▼【恢復／回復】カイフク
1.失ったり悪くなったりした状態がもとどおりになること。
2.病気がよくなること。≒快復〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔罹患〕リカン
┌病気にかかること。≒罹病〈漢字ペディア〉
┌病気にかかること。罹病。〈漢辞海〉
◇漢字ペディア大見出し
●H18-3㈦／●H21-1㈦／●H25-2㈦／●H28-1㈦"
H0020,【開豁】,⇔,"ふへい
はじ
きょうあい",◆１,狭隘,"▼【開豁】カイカツ
1.広々とひらけて、眺めのよいようす。
2.心が広く、さっぱりしているようす。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔狭隘〕キョウアイ
1.土地などがせまくるしいさま。
2.度量がせまくて窮屈なさま。〈漢字ペディア〉
◇漢字ペディア大見出し
●H21-3㈦"
H0021,【拡散】,⇔,"しゅうれん
びまん
かくはん",◆１,収斂,"▼【拡散】カクサン
1.広く散らばること。
2.濃度の異なる物質が混じり合って、全体が均一の濃度になる現象。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔収斂〕シュウレン
1.引きしまって縮まること。≒収縮
2.税を取り立てること。
3.穀物などを取り入れること。収穫。
4.数学で、変数の値がある一定の数に限りなく近づくこと。≒〈漢字ペディア〉
◇漢字ペディア大見出し
●H22-3㈦"
H0022,【岳麓】,⇔,"せいざん
ろうほ
さんてん",◆１,"山巓
山顚
山顛","▼【岳麓】ガクロク
山のふもと。裾野(ｽｿﾉ)。特に、富士山のふもと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔山巓／山顚〕サンテン
山のいただき。てっぺん。頂上。山頂。〈漢字ペディア〉
◇漢字ペディア大見出し
●H27-2㈦"
H0023,【岳麓】,⇔,"ぜってん
ぼあい
そうこしゃ",◆１,"絶巓
絶顚
絶顛","▼【岳麓】ガクロク
山のふもと。裾野(ｽｿﾉ)。特に、富士山のふもと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔絶巓／絶顚〕ゼッテン
山の絶頂。いただき。てっぺん。〈日本国語大辞典〉
●H24-2㈦"
H0024,【感謝】,⇔,"えんさ
ろくめい
はんじょく",◆１,怨嗟,"▼【感謝】カンシャ
自分が受けた行為を、ありがたく思うこと。また、その意を表して礼を言うこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔怨嗟〕エンサ
うらんでなげき悲しむこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H14-3㈦"
H0025,【頑健】,⇔,"るいじゃく
きょたん
そうゆ",◆１,羸弱,"▼【頑健】ガンケン
体型ががっしりとして丈夫なさま。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔羸弱〕ルイジャク
体が弱いこと。また、疲労で衰弱すること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H25-3㈦"
H0026,【奇禍】,⇔,"ぎょうこう
きこう
せつな",◆１,僥倖,"▼【奇禍】キカ
思いがけない災難。思わぬ不幸。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔僥倖〕ギョウコウ
┌1.思いもかけない、身分不相応な幸い。
└2.どこまでも利益や幸福を求めること。〈漢字源〉
┌思いがけない幸運。こぼれざいわい。〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-1㈦／●H27-3㈦"
H0027,【帰納】,⇔,"しゅつろ
えんえき
せきりょう",◆１,演繹,"▼【帰納】キノウ
具体的事実から共通点を求めて、一般的な原理や法則を導き出すこと。⇔演繹(ｴﾝｴｷ)〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔演繹〕エンエキ
┌⇔帰納
├1.一つのことから他のことへおし広げて述べること。
└2.一般的な原理から特殊な原理を論理によって導き出すこと。〈漢字ペディア〉
┌1.一つの事柄から他の事柄へ押しひろめて述べること。
└2.与えられた命題から、論理的形式に頼って推論を重ね、結論を導き出すこと。一般的な理論によって、特殊なものを推論し、説明すること。⇔帰納〈大辞泉〉
◇漢字ペディア大見出し
●H15-1㈦／●H17-3㈦／●H20-2㈦／●H26-3㈦"
H0028,【稀有】,⇔,"つうず
きょうじゃく
へんたん",◆１,"通途
通塗","▼【稀有／希有】ケウ
まれで珍しいこと。めったにないこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔通途／通塗〕ツウズ
ありふれたこと。どこにでも転がっていること。また、そのものやそのさま。普通。通常。〈日本国語大辞典〉
●R01-3㈦"
H0029,【起筆】,⇔,"かくひつ
ばんさん
こうさ",◆１,擱筆,"▼【起筆】キヒツ
文章などを書き始めること。書き起こし。⇔擱筆〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔擱筆〕カクヒツ
筆をおく。特に、文章を書き終えて筆を下におく。⇔起筆〈漢字ペディア〉
◇漢字ペディア大見出し
●H22-3㈦"
H0030,【巨大】,⇔,"わいしょう
しんせい
えんじゃく",◆１,矮小,"▼【巨大】キョダイ
きわめて大きいこと。また、そのもの。⇔微小〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔矮小〕ワイショウ
1.背が低く、小さいこと。
2.つまらないこと。規模の小さいこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H14-3㈦／●H18-2㈦"
H0031,【強壮】,⇔,"しゃこう
るいじゃく
ちんどく",◆１,羸弱,"▼【強壮】キョウソウ
体がたくましく勢いのあるさま。≒強健、壮健〈漢字ペディア〉
★中国で古く、三十歳を壮、四十歳を強といい、もと、三、四十歳の心身盛んな年代の意。
◇漢字ペディア大見出し","▼〔羸弱〕ルイジャク
体が弱いこと。また、疲労で衰弱すること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H27-2㈦"
H0032,【恭謙】,⇔,"けごう
おんじゃく
きょうだい",◆１,矜大,"▼【恭謙】キョウケン
つつしみ深くへりくだること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔矜大〕キョウダイ
おごりたかぶること。また、そのさま。尊大。〈日本国語大辞典〉
●H27-2㈦"
H0033,【興隆】,⇔,"けつけつ
りょうち
せいち",◆１,陵遅,"▼【興隆】コウリュウ
物事がおこり、盛んになること。≒興起、⇔衰亡、衰退〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔陵遅〕リョウチ
1.山地や丘陵が次第に低くなること。陵夷。
2.物事が次第に衰えすたれること。また、道義がうすれて行くこと。
3.昔の中国の刑罰の一つ。身体を切りきざみながら死に至らしめるもの。〈日本国語大辞典〉
◇漢字ペディア大見出し
●H25-2㈦"
H0034,【興隆】,⇔,"りょうい
ほうたい
えいげつ",◆１,陵夷,"▼【興隆】コウリュウ
物事がおこり、盛んになること。≒興起、⇔衰亡、衰退〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔陵夷〕リョウイ
1.丘と平地。
2.丘陵が次第に低く平らになること。陵遅。
3.物事が次第に衰えすたること。〈日本国語大辞典〉
◇漢字ペディア大見出し
●H27-1㈦"
H0035,【仰視】,⇔,"ふかん
ひせき
りゅうべん",◆１,俯瞰,"▼【仰視】ギョウシ
あおぎ見ること。見上げること。≒仰瞻〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔俯瞰〕フカン
高い所から見おろすこと。≒鳥瞰〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-2㈦"
H0036,【仰瞻】,⇔,"りゅうりょう
ふかん
けいけん",◆１,俯瞰,"▼【仰瞻】ギョウセン
あおぎ見ること。また、尊敬すること。見上げること。〈日本国語大辞典〉
◇漢字ペディア下付き","▼〔俯瞰〕フカン
高い所から見おろすこと。≒鳥瞰〈漢字ペディア〉
◇漢字ペディア大見出し
●H21-3㈦"
H0037,【凝寒】,⇔,"かいきえん
しょうかん
けんだん",◆１,暄暖,"▼【凝寒】ギョウカン
きびしい寒さ。〈漢辞海〉","▼〔暄暖〕ケンダン
あたたかなこと。また、そのさま。温暖。〈日本国語大辞典〉
◇漢字ペディア小見出し
●R01-2㈦"
H0038,【謹厳】,⇔,"いんぎん
ふくへき
ほうらつ",◆１,"放埒
放埓","▼【謹厳】キンゲン
うわついたところがなく、非常にまじめなこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔放埒〕ホウラツ
1.「放逸」に同じ。≒放縦
2.酒や色欲にふけること。≒放蕩(ﾎｳﾄｳ)〈漢字ペディア〉
★馬が柵(ｻｸ)である埒(ﾗﾁ)から放れ出る意から。
◇漢字ペディア大見出し
●R02-2㈦"
H0039,【愚昧】,⇔,"ゆまい
えいまい
けんべつ",◆１,英邁,"▼【愚昧】グマイ
おろかで道理のわからないこと。また、その人。≒愚蒙〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔英邁〕エイマイ
才能･知識が非常にすぐれていること。≒英明〈漢字ペディア〉
◇漢字ペディア大見出し
●H26-2㈦"
H0040,【桑楡】,⇔,"こうこん
けいしん
からく",◆１,鶏晨,"▼【桑楡】ソウユ
桑(ｸﾜ)と楡(ﾆﾚ)の木。また、一般に樹木をさしていう。
2.西日の影が樹木の上にかかっていること。夕方の日影。夕方。夕暮。
3.転じて、人生の晩年や死期をたとえていう。〈日本国語大辞典〉
◇漢字ペディア下付き","▼〔鶏晨〕ケイシン
にわとりの鳴く朝。夜明け。あけがた。早朝。鶏旦。〈日本国語大辞典〉
◇漢字ペディア下付き
●R01-3㈦"
H0041,【契合】,⇔,"せっけい
ぼっかん
かんかく",◆１,"扞格
捍格","▼【契合】ケイゴウ
割符を合わせたように、ぴたりと二つのものが一致すること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔扞格／捍格〕カンカク
互いに相手をこばみ、受け入れないこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H25-1㈦"
H0042,【慶福】,⇔,"おうか
きょうだい
ぼんさい",◆１,殃禍,"▼【慶福】ケイフク
めでたいこと。いわいごと。めでたいしあわせ。さいわい。〈日本国語大辞典〉","▼〔殃禍〕オウカ
わざわい。災難。災厄。≒災禍〈漢字ペディア〉
◇漢字ペディア大見出し
●H30-1㈦"
H0043,【敬信】,⇔,"がいせつ
とうちょ
さいぎ",◆１,猜疑,"▼【敬信】ケイシン
尊敬し、信頼すること。また、神仏などを、うやまい信じること。〈日本国語大辞典〉","▼〔猜疑〕サイギ
人の行いなどを素直に受け取れず、ねたんだり、うたがったりすること。〈漢字ペディア〉
◇漢字ペディア大見出し
●R01-3㈦"
H0044,【決断】,⇔,"ちゅうちょ
ちょくせつ
ちゅっちょく",◆１,躊躇,"▼【決断】ケツダン
1.きっぱり決めること。
2.事の善し悪しを裁くこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔躊躇〕チュウチョ
┌1.ためらって、行きなやむ。また、物事を進めかねてためらう。
└2.あわてない。ゆったりとする。〈新漢和大字典〉
┌あれこれ迷って決心できないこと。ためらうこと。〈大辞泉〉
┌決心がつかず迷うこと。ぐずぐずと、ためらうこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●R01-2㈦"
H0045,【潔浄】,⇔,"おわい
けいし
ごうごう",◆１,汚穢,"▼【潔浄】ケツジョウ
 清らかで、けがれのないこと。清潔清浄なこと。また、そのさま。〈日本国語大辞典〉","▼〔汚穢〕オワイ／オアイ
┌1.よごれていること。けがれていること。
└2.大小便。糞尿。〈漢字ペディア〉
┌1.けがる。けがれ。
└2.けがす。〈字源〉
◇漢字ペディア大見出し
●H18-2㈦／●H24-2㈦"
H0046,【倹素】,⇔,"しゃし
きょうだ
せいちゅう",◆１,奢侈,"▼【倹素】ケンソ
地味でつましいこと。質素で飾りけがないこと。≒倹朴〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔奢侈〕シャシ
┌おごり。ぜいたく。〈漢字源〉
┌身分不相応なぜいたく。度を超えて金をつかうこと。〈漢字ペディア〉
◇漢字ペディア大見出し
●H23-2㈦／●H25-3㈦"
