ID,問題,難易度,解答,別答,意味,同音異義語用
I0001,【アイクチ】に鍔,◆１,匕首,合口,"👉あいくちにつば。
釣り合わないことや不調和なことのたとえ。〈漢字ペディア〉
★匕首は本来鍔のない短刀なので、鍔をつけると似つかわしくないことから。
＊『諺苑』",アイクチ
I0002,【アバタ】も靨,◆１,痘痕,,"👉あばたもえくぼ。
ひいき目で見れば短所も長所に見えるたとえ。〈漢字ペディア〉
★好きになれば、相手のあばたもえくぼのようにかわいらしく見える意から。
＊『人情本･郭の花笠-二･八回』",アバタ
I0003,【アンコウ】の待ち食い,◆１,鮟鱇,,"👉あんこうのまちぐい。
働きもせずに利益を得ようとするたとえ。〈漢字ペディア〉
＊『日本俚諺大全』",アンコウ
I0004,一世を【フウビ】する,◆１,風靡,,"👉いっせいをふうびする。
ある時代に広く流行し、大きな影響力をもつ。〈漢字ペディア〉
＊『後漢書-馮異伝』",フウビ
I0005,【イツボウ】の争い,◆１,鷸蚌,,"👉いつぼうのあらそい。
利益をめぐって両者が争っている間に、第三者に利益を横取りされて共倒れに終わってしまう愚かさのたとえ。〈漢字ペディア〉
★シギとハマグリとが餌(ｴｻ)の取り合いで争っているうちに、両方とも漁師に捕まってしまったという故事から。
●〈平成20年度･第2回出題,大問㈨,小問７〉
＊『戦国策-燕策』",イツボウ
I0006,【インカン】遠からず,◆１,殷鑑,,"👉いんかんとおからず。
戒めとすべき失敗の前例は、わざわざ遠くに求めなくてもすぐ身近なところにあるということ。〈漢字ペディア〉
★「殷」は、中国の古代王朝名。
★「鑑」は、かがみ、手本の意。
★殷が鑑とすべき手本は、まさにすぐ前の王朝夏(ｶ)の暴政であったことから。
＊『詩経-大雅･蕩』",インカン
I0007,【ウケ】に入る,◆１,有卦,,"👉うけにいる。
幸運がめぐってきて、当分続くこと。〈漢字ペディア〉
★陰陽道(ｵﾝﾖｳﾄﾞｳ)で吉運の年回りに入ったという意から。
＊『俳諧･玉海集-二･夏』",ウケ
I0008,【エンオウ】の契り,◆１,鴛鴦,,"👉えんおうのちぎり。
夫婦仲がきわめてむつまじいことのたとえ。〈漢字ペディア〉
★オシドリは、いつも雌雄が一緒にいることから夫婦仲のよいたとえに用いられる。
＊『御伽草子･浦嶋太郎』",エンオウ
I0009,【オクビ】にも出さぬ,◆１,噯気,"噫気
噯","👉おくびにもださぬ。
心の底に秘めていて、それらしいそぶりも見せないこと。〈漢字ペディア〉
＊『御伽草子･鴉鷺合戦物語』",オクビ
I0010,同じ穴の【ムジナ】,◆１,貉,狢,"👉おなじあなのむじな。
悪事をたくらむ仲間であることのたとえ。〈漢字ペディア〉
★別なように見えても実は悪賢いムジナであることに変わりはない意から。
＊『』",ムジナ
I0011,小田原【ヒョウジョウ】,◆１,評定,,"👉おだわらひょうじょう。
いつまでも意見がまとまらず、長引くだけの相談。〈漢字ペディア〉
★北条(ﾎｳｼﾞｮｳ)氏がたてこもった小田原城を豊臣秀吉が攻めた際、城内で和議か抗戦かなかなか決まらなかったことから。
＊『日本俚諺大全』",ヒョウジョウ
I0012,男は度胸女は【アイキョウ】,◆１,愛嬌,愛敬,"👉おとこはどきょうおんなはあいきょう。
この世に生きていくうえで、男は度胸、女は愛嬌がまず第一で、何よりも大切だということ。〈漢字ペディア〉
＊『日本俚諺大全』",アイキョウ
I0013,帯に短し【タスキ】に長し,◆１,襷,,"👉おびにみじかしたすきにながし。
中途半端で役に立たないことのたとえ。〈漢字ペディア〉
★帯にするには短過ぎるし、襷にするには長過ぎて使えない意から。
＊『世話類聚』",タスキ
I0014,親の【スネ】を齧る,◆１,脛,,"👉おやのすねをかじる。
子が親から、経済的な援助を受けること。自立できない子どものたとえ。〈漢字ペディア〉
＊『談義本･教訓続下手談義-一･八王子の臍翁手代への説法』",スネ
I0015,【カイ】より始めよ,◆１,隗,,"👉かいよりはじめよ。
言い出した者から始めよ。また、物事を手近なところから始めるたとえ。〈漢字ペディア〉
★中国、戦国時代、燕(ｴﾝ)の昭王が賢人を招く方法を郭隗(ｶｸｶｲ)に相談したところ、隗が「まず私を登用してください。それを知って私よりすぐれた人物が多く集まってくるでしょう」と答えたという故事から。
＊『戦国策-燕策』",カイ
I0016,【カツモク】して相待つ,◆１,刮目,,"👉かつもくしてあいまつ。
人や物事が著しく進歩・成長するのを期待して待ち望むこと。また、今までとちがった見方で相手を見直すこと。〈漢字ペディア〉
★中国、三国時代、呉の呂蒙(ﾘｮﾓｳ)が孫権の忠告で学問に励み、進歩のはやさで魯粛(ﾛｼｭｸ)を驚嘆させ、魯粛が「りっぱな男は三日見ないだけで、もう目を見開いて見なくてはならないものだ」と言ったという故事から。
＊『呉志-呂蒙伝･注』",カツモク
I0017,【ガベイ】に帰す,◆１,画餅,,"👉がべいにきす。
思案したことが、実際には行われなかったり失敗に終わったりして無駄になること。〈漢字ペディア〉
＊『近世紀聞〈染崎延房〉五･二』",ガベイ
I0018,借りる時の地蔵顔済す時の【エンマ】顔,◆１,閻魔,,"👉かりるときのじぞうがおなすときのえんまがお。
人に借金をするときにはおだやかな表情で対応するが、返済するときには険しい表情をするたとえ。〈漢字ペディア〉
★「済す」は、返却する意。
＊『虎寛本狂言･八句連歌』",エンマ
I0019,【カンタン】の夢,◆１,邯鄲,,"👉かんたんのゆめ。
人の世の栄華がはかないたとえ。〈漢字ペディア〉
★中国、唐代、盧生(ﾛｾｲ)という若者が邯鄲の町で道士の呂翁(ﾘｮｵｳ)から出世がかなうという枕(ﾏｸﾗ)を借りて寝たところ、栄華に満ちた一生を送る夢を見、目覚めると宿屋の主人に頼んでおいた黄粱(ｺｳﾘｮｳ)がまだ炊き上がらないような短い時間だったという故事から。
＊『枕中記』",カンタン
I0020,【カンナン】汝を玉にす,◆１,艱難,,"👉かんなんなんじをたまにす。
人は困難や苦労を乗り越えてりっぱになっていくということ。〈漢字ペディア〉
＊『小学読本〈榊原･那珂･稲垣〉四』",カンナン
I0021,【カンポウ】の交わり,◆１,管鮑,,"👉かんぽうのまじわり。
〈漢字ペディア〉
★中国、春秋時代、斉の管仲と鮑叔牙(ﾎｳｼｭｸｶﾞ)は無二の親友で、ともに商売をしたとき、管仲が分け前を余分にとっても鮑は管が貧乏なことを知っていて非難せず、管を宰相の位に推挙したのも鮑であったなど、二人の利害を超えた親密な交際は生涯続いたという故事から。
＊『列子-力命』",カンポウ
I0022,【キンカ】一日の栄,◆１,槿花,,"👉きんかいちじつのえい。
人の世の栄華がはかないことのたとえ。〈漢字ペディア〉
★ムクゲの花は朝咲いて夕暮れにはしぼむことから。
＊『白居易-放言五首詩』",キンカ
